farm_area,labor,farming_years,irrigation,fertilizer,past_yield,region,resource_allocation
6.439266826013607,3,15,1,1.832156420316654,31.888476022439594,B,45.54140315258213
2.472343955411226,4,24,0,1.8529147770442826,15.859429503230189,C,29.54133145681365
4.9778802808676454,2,39,0,3.4544454468483408,18.042472095306373,A,28.10245075926134
2.9888054170268457,3,21,1,1.3908198259649711,16.246162059365798,C,29.27938057553183
4.181808789488776,3,1,0,7.28154469533643,20.318271344436223,C,29.20241860009888
2.275079114880771,5,47,0,3.932301273249097,14.71029408785303,A,24.502656225215848
2.570781337931871,4,37,1,1.8852539111780096,15.958048499354241,A,28.770890569247737
5.796297878995477,4,5,0,5.536971369549292,26.85407385245897,C,35.73352539181235
3.336934668851252,5,24,1,1.2454607738686017,17.19662967769825,A,29.388600607031698
2.3756411691104367,1,4,1,1.7666478476937268,3.339304831009528,A,11.277769272263969
4.255475783559877,4,49,0,1.3473211938817717,20.01075477686242,A,31.041703995868396
5.772347408772329,2,17,1,1.0511653612861396,24.69541426326671,B,37.96432831213937
2.4248704114084942,2,19,0,2.5870140956668335,16.63653049664416,B,24.46011209051436
7.431528203319589,1,6,1,3.124903291761558,17.099615171458822,A,25.570616069078604
5.236352024050483,4,23,1,7.223131876334072,25.08343702643126,B,43.08490496798051
6.049431889055108,1,17,1,2.340584134517519,25.850705968491916,B,43.14864632751715
7.230813833070642,3,3,1,4.014575348423202,27.878518816332463,B,45.579727935997774
5.115324521607992,3,46,0,3.4279399690888153,19.166208994244236,A,36.79146042982732
4.39945909967662,4,24,0,7.126436337791919,15.985430896068566,A,27.26983148064854
2.530281355991506,1,3,1,1.6848839116775332,10.995454528094891,B,20.41103937629525
2.279959539993101,4,7,0,2.506720530983481,12.809509301590959,B,21.97837927288168
5.2003764986812095,3,23,1,3.1592209746249225,26.247295510005625,B,44.84892106309936
6.520493868105355,1,8,1,4.279421716763642,19.578188177708405,A,26.457028643349094
5.195707353583482,1,6,0,9.191135449058653,15.371751197685798,A,25.040900874586768
1.9798845213801808,1,21,1,4.253439699721986,15.895091270885233,C,23.241519689998498
4.566609020067498,1,32,0,5.987768119260969,24.88955518211164,B,37.34831593134625
4.555734726390195,2,5,1,5.051153708890728,20.36749298520749,B,29.965836315411387
3.4187107172779942,2,28,1,1.4542797663776172,20.43851367922157,C,30.45210942213875
1.6500861793005652,3,28,1,5.177903534484644,15.989836346518171,C,24.06884059128389
