fold,model,Acc,DI,EOD
0,DL,0.78,1.5967016491754122,0.15000000000000002
0,Debiased-HITL,0.775,1.4902548725637181,0.09999999999999998
0,FE-HITL,0.78,1.5967016491754122,0.15000000000000002
0,DL,0.76,2.190562613430127,0.22500000000000003
0,Debiased-HITL,0.735,0.0,0.325
0,FE-HITL,0.755,1.8039927404718696,0.125
0,DL,0.75,3.060344827586207,0.175
0,Debiased-HITL,0.73,0.0,0.175
0,FE-HITL,0.745,0.918103448275862,0.024999999999999994
0,DL,0.74,1.9586206896551723,0.2
0,Debiased-HITL,0.72,0.0,0.3
0,FE-HITL,0.76,1.4689655172413791,0.2
0,DL,0.785,1.9160419790104948,0.25
0,Debiased-HITL,0.76,0.3193403298350824,0.25
0,FE-HITL,0.765,1.2773613193403297,0.0
0,DL,0.745,0.6120689655172414,0.07500000000000001
0,Debiased-HITL,0.75,1.632183908045977,0.07499999999999998
0,FE-HITL,0.745,1.0201149425287357,0.024999999999999994
0,DL,0.76,1.9042145593869733,0.2
0,Debiased-HITL,0.735,0.1360153256704981,0.25
0,FE-HITL,0.76,1.360153256704981,0.10000000000000003
0,DL,0.76,1.440162271805274,0.22499999999999998
0,Debiased-HITL,0.76,1.440162271805274,0.22499999999999998
0,FE-HITL,0.76,1.440162271805274,0.22499999999999998
0,DL,0.75,2.203448275862069,0.22500000000000003
0,Debiased-HITL,0.73,0.0,0.325
0,FE-HITL,0.75,1.2241379310344829,0.024999999999999967
0,DL,0.765,1.6007957559681696,0.19999999999999996
0,Debiased-HITL,0.76,1.129973474801061,0.04999999999999999
0,FE-HITL,0.765,1.2241379310344827,0.09999999999999998
0,DL,0.745,1.8135376756066413,0.35
0,Debiased-HITL,0.75,0.8160919540229885,0.10000000000000003
0,FE-HITL,0.755,1.450830140485313,0.30000000000000004
0,DL,0.775,1.7627586206896553,0.175
0,Debiased-HITL,0.755,0.19586206896551725,0.32499999999999996
0,FE-HITL,0.76,1.0772413793103448,0.07500000000000001
0,DL,0.785,1.6884661117717004,0.22499999999999998
0,Debiased-HITL,0.77,0.9286563614744351,0.07499999999999996
0,FE-HITL,0.78,1.2663495838287753,0.07500000000000007
0,DL,0.705,1.0,0.05
0,Debiased-HITL,0.705,1.0,0.05
0,FE-HITL,0.705,1.0,0.05
0,DL,0.755,1.4902548725637181,0.07500000000000001
0,Debiased-HITL,0.74,0.9580209895052474,0.125
0,FE-HITL,0.745,0.8515742128935532,0.125
0,DL,0.73,2.4482758620689657,0.15
0,Debiased-HITL,0.73,2.4482758620689657,0.15
0,FE-HITL,0.73,2.4482758620689657,0.15
0,DL,0.765,2.273399014778325,0.175
0,Debiased-HITL,0.74,0.0,0.275
0,FE-HITL,0.755,1.5738916256157638,0.024999999999999967
0,DL,0.755,1.566896551724138,0.025000000000000022
0,Debiased-HITL,0.77,0.6855172413793105,0.125
0,FE-HITL,0.77,1.0772413793103448,0.024999999999999967
0,DL,0.72,2.9379310344827583,0.19999999999999998
0,Debiased-HITL,0.71,0.0,0.15
0,FE-HITL,0.71,1.4689655172413791,0.0
0,DL,0.745,2.636604774535809,0.3
0,Debiased-HITL,0.715,0.0,0.2
0,FE-HITL,0.74,1.6949602122015914,0.14999999999999997
0,DL,0.755,2.098522167487685,0.35000000000000003
0,Debiased-HITL,0.715,0.0,0.3
0,FE-HITL,0.74,1.0492610837438425,0.04999999999999999
0,DL,0.74,3.264367816091954,0.175
0,Debiased-HITL,0.74,3.264367816091954,0.175
0,FE-HITL,0.74,3.264367816091954,0.175
0,DL,0.77,4.080459770114943,0.4
0,Debiased-HITL,0.74,0.0,0.25
0,FE-HITL,0.77,4.080459770114943,0.4
0,DL,0.775,1.789124668435013,0.29999999999999993
