model,fold,DI_mean,DI_std,Acc_mean,EOD_mean,n
DL,0,1.9587803253027365,1.259784193987689,0.7476,0.179,50
DL,1,1.3816557019135123,0.31351865982225857,0.7295,0.11828571428571429,50
DL,2,1.4936603482145352,0.6353249492112814,0.7351000000000001,0.08554641598119858,50
DL,3,1.1506734103223903,0.5726703705751904,0.7417999999999999,0.0545,50
DL,4,1.6078424095832253,0.46265967213107073,0.7593000000000001,0.08915750915750915,50
Debiased-HITL,0,1.589066228472424,1.2592338041649629,0.7452,0.125,50
Debiased-HITL,1,1.2933229570782476,0.22854390922879814,0.7292000000000001,0.10605714285714286,50
Debiased-HITL,2,1.4191112640012877,0.5120374595472946,0.7343,0.06782608695652173,50
Debiased-HITL,3,1.2415229117468918,1.273866426952468,0.7413,0.0575,50
Debiased-HITL,4,1.3418788641421873,0.3994186420109422,0.7591,0.0747985347985348,50
FE-HITL,0,1.0772903339109983,0.3710949985716778,0.7425,0.071,50
FE-HITL,1,1.0674696486720505,0.2350799302634221,0.7258,0.0688,50
FE-HITL,2,1.0545421142527247,0.21140402007499445,0.7309,0.05995299647473561,50
FE-HITL,3,1.1102127011241811,0.5531845347154215,0.7421,0.0535,50
FE-HITL,4,1.0537163409975754,0.12512063956632372,0.7562000000000001,0.06432234432234434,50
