model,seed,Acc,DI,EOD,AOD
LR,42,0.77,1.3604431871758604,0.09870129870129868,0.061976911976911964
DL,42,0.73,1.6888260254596887,0.03116883116883118,0.051884920634920645
Debiased-HITL,42,0.74,1.4073550212164072,0.03116883116883118,0.029157647907647914
FE-HITL,42,0.73,0.9382366808109383,0.08311688311688309,0.03556096681096679
LR,43,0.7466666666666667,1.6197964847363553,0.18509615384615385,0.16121004875406283
DL,43,0.7,2.1914893617021276,0.06129807692307693,0.030959726116882292
Debiased-HITL,43,0.7,0.7304964539007092,0.022836538461538464,0.004376015709642471
FE-HITL,43,0.7,2.1914893617021276,0.06129807692307693,0.030959726116882292
LR,44,0.7366666666666667,1.3441514536849224,0.12301804264625482,0.07287265768676378
DL,44,0.7,0.0,0.01694915254237288,0.011721329517939687
Debiased-HITL,44,0.6966666666666667,1.2241379310344827,0.01694915254237288,0.0027927580893682595
FE-HITL,44,0.6966666666666667,1.2241379310344827,0.01694915254237288,0.0027927580893682595
LR,45,0.7333333333333333,1.0463917525773196,0.030363364858138397,0.0427790850264718
DL,45,0.7033333333333334,0.0,0.04081632653061224,0.02365491651205937
Debiased-HITL,45,0.7166666666666667,2.7903780068728525,0.05674464907914386,0.025125571292818682
FE-HITL,45,0.7033333333333334,0.0,0.04081632653061224,0.02365491651205937
LR,46,0.7733333333333333,1.2680951136660572,0.11422413793103448,0.0454161625327687
DL,46,0.7566666666666667,1.28150622532645,0.08943965517241381,0.03955986886587667
Debiased-HITL,46,0.7566666666666667,1.28150622532645,0.08943965517241381,0.03955986886587667
FE-HITL,46,0.76,0.9611296689948374,0.026939655172413812,0.018005920607807542
LR,47,0.77,1.2478094194961664,0.03225806451612906,0.03137829912023461
DL,47,0.7566666666666667,0.7843373493975903,0.036866359447004615,0.041600335148722245
Debiased-HITL,47,0.7566666666666667,0.7843373493975903,0.036866359447004615,0.041600335148722245
FE-HITL,47,0.7666666666666667,1.0457831325301203,0.07027649769585254,0.011971093422706327
LR,48,0.7633333333333333,1.4899749373433586,0.12301804264625482,0.09607665830942878
DL,48,0.7433333333333333,1.5644736842105262,0.09240021869874249,0.09639274633567262
Debiased-HITL,48,0.74,1.5105263157894735,0.06014215418261348,0.08026371407760811
FE-HITL,48,0.73,1.025,0.1334062329141607,0.03994797947077898
LR,49,0.7266666666666667,1.4081632653061225,0.11666666666666664,0.09461451247165531
DL,49,0.73,1.2664071190211346,0.033333333333333326,0.03662131519274377
Debiased-HITL,49,0.73,1.2664071190211346,0.033333333333333326,0.03662131519274377
FE-HITL,49,0.7433333333333333,1.03615127919911,0.06666666666666665,0.019727891156462576
LR,50,0.73,1.4585473220836391,0.12698412698412703,0.10515873015873019
DL,50,0.72,1.848698099929627,0.2222222222222222,0.19944444444444442
Debiased-HITL,50,0.7233333333333334,1.7987332864180154,0.2222222222222222,0.1911111111111111
FE-HITL,50,0.72,1.848698099929627,0.2222222222222222,0.19944444444444442
LR,51,0.73,1.264842300556586,0.03771551724137934,0.043794627307558356
DL,51,0.73,1.3741496598639455,0.008620689655172403,0.0254593347265761
Debiased-HITL,51,0.73,1.3741496598639455,0.008620689655172403,0.0254593347265761
FE-HITL,51,0.7333333333333333,1.0796890184645287,0.022629310344827597,0.0053171804249390504
LR,52,0.7366666666666667,2.327365728900256,0.2569710224166211,0.21600889111809163
DL,52,0.7233333333333334,1.9553466509988249,0.09404045926735921,0.13938462615694946
Debiased-HITL,52,0.7333333333333333,1.772032902467685,0.09404045926735921,0.11479446222252326
FE-HITL,52,0.7366666666666667,0.9776733254994124,0.09950792782941498,0.0393567805061917
LR,53,0.7333333333333333,1.5126849894291754,0.01594896331738438,0.059000874620569015
DL,53,0.77,1.9071969696969697,0.06060606060606061,0.06871945259042034
Debiased-HITL,53,0.7666666666666667,1.606060606060606,0.0,0.02932551319648094
FE-HITL,53,0.7666666666666667,1.0037878787878787,0.09090909090909088,0.04340175953079178
LR,54,0.7533333333333333,2.157509157509158,0.3398617511520738,0.2243526442835199
DL,54,0.7666666666666667,1.7863247863247864,0.35944700460829493,0.19559651817716334
Debiased-HITL,54,0.7633333333333333,1.7225274725274724,0.32373271889400923,0.1777393753200205
FE-HITL,54,0.7533333333333333,0.8931623931623932,0.038018433179723476,0.00480030721966207
LR,55,0.7066666666666667,1.11641910879165,0.14160743575724433,0.0515293414613886
DL,55,0.7366666666666667,1.1270516717325227,0.048113723346090764,0.02065550112882769
Debiased-HITL,55,0.7366666666666667,1.1270516717325227,0.048113723346090764,0.02065550112882769
FE-HITL,55,0.7366666666666667,1.1270516717325227,0.048113723346090764,0.02065550112882769
LR,56,0.7266666666666667,1.5176470588235293,0.15855658829961722,0.10135806622958068
DL,56,0.7266666666666667,1.418938307030129,0.127938764352105,0.07394089214756247
Debiased-HITL,56,0.7266666666666667,1.2955523672883786,0.09568069983597594,0.04855260063023868
FE-HITL,56,0.7233333333333334,0.9870875179340028,0.001093493712411131,0.01835301466247337
LR,57,0.7533333333333333,2.225806451612903,0.40131219245489336,0.25950526797984425
DL,57,0.73,1.4360041623309054,0.08201202843083649,0.06160322432875739
Debiased-HITL,57,0.7333333333333333,1.36420395421436,0.08201202843083649,0.05353870819972513
FE-HITL,57,0.73,1.1488033298647244,0.01749589939857843,0.01321612755456384
LR,58,0.7733333333333333,1.1795841209829867,0.02941176470588236,0.007219493968186191
DL,58,0.7466666666666667,1.19693094629156,0.07352941176470587,0.020771057969467273
Debiased-HITL,58,0.7466666666666667,1.19693094629156,0.07352941176470587,0.020771057969467273
FE-HITL,58,0.7466666666666667,1.19693094629156,0.07352941176470587,0.020771057969467273
LR,59,0.7433333333333333,1.978021978021978,0.3114224137931034,0.18212308615653222
DL,59,0.7433333333333333,1.3885714285714286,0.14547413793103448,0.07371077879998657
Debiased-HITL,59,0.74,1.3371428571428572,0.11422413793103448,0.05808577879998657
FE-HITL,59,0.74,1.0285714285714285,0.020474137931034475,0.01763537504616728
LR,60,0.7333333333333333,1.4939271255060729,0.06878306878306872,0.11454894947024191
DL,60,0.7266666666666667,1.3314669652855542,0.07407407407407407,0.08042974623339164
Debiased-HITL,60,0.73,1.2855543113101902,0.07407407407407407,0.07307680505692105
FE-HITL,60,0.7433333333333333,1.0100783874580066,0.037037037037037035,0.017793580656049593
LR,61,0.75,0.9395604395604397,0.138326954620011,0.07000472235266864
DL,61,0.7566666666666667,0.629737609329446,0.2673592126845271,0.153268598049991
Debiased-HITL,61,0.7566666666666667,0.7346938775510203,0.23510114816839806,0.12770560352777552
FE-HITL,61,0.7533333333333333,0.9970845481049563,0.17058501913614,0.06714565221919366
LR,62,0.6933333333333334,2.2714285714285714,0.164021164021164,0.19560943777029155
DL,62,0.71,2.07449494949495,0.07936507936507936,0.15179608352674698
Debiased-HITL,62,0.7166666666666667,1.8068181818181819,0.042328042328042326,0.10868740107380223
FE-HITL,62,0.71,2.07449494949495,0.07936507936507936,0.15179608352674698
LR,63,0.7333333333333333,1.389423076923077,0.050000000000000044,0.052967171717171704
DL,63,0.7133333333333334,1.59375,0.0,0.015782828282828284
Debiased-HITL,63,0.72,1.0625,0.0,0.0006313131313131319
FE-HITL,63,0.72,1.0625,0.0,0.0006313131313131319
LR,64,0.73,1.6163150492264415,0.1833333333333333,0.11518041999408457
DL,64,0.7366666666666667,2.098101265822785,0.23333333333333334,0.16901804199940845
Debiased-HITL,64,0.7366666666666667,1.631856540084388,0.13333333333333336,0.08840579710144929
FE-HITL,64,0.73,1.0101969057665259,0.033333333333333326,0.025539781129843238
LR,65,0.7666666666666667,1.7913752913752914,0.18500797448165873,0.12593507228481765
DL,65,0.77,1.3140495867768593,0.020733652312599604,0.02189123835982923
Debiased-HITL,65,0.77,1.3140495867768593,0.020733652312599604,0.02189123835982923
FE-HITL,65,0.78,0.9198347107438017,0.11164274322169054,0.07810876164017079
LR,66,0.7266666666666667,1.1264367816091954,0.011554621848739455,0.0009071810542398556
DL,66,0.7033333333333334,0.0,0.017857142857142856,0.008928571428571428
Debiased-HITL,66,0.71,4.666666666666666,0.04096638655462185,0.020483193277310924
FE-HITL,66,0.7033333333333334,0.0,0.017857142857142856,0.008928571428571428
LR,67,0.7333333333333333,1.2295957284515635,0.08516063233044369,0.027624304435016567
DL,67,0.7333333333333333,1.1468178954001262,0.01988781234064252,0.013756222885863784
Debiased-HITL,67,0.7333333333333333,1.1468178954001262,0.01988781234064252,0.013756222885863784
FE-HITL,67,0.7333333333333333,1.1468178954001262,0.01988781234064252,0.013756222885863784
LR,68,0.72,1.522024367385192,0.14188807235726397,0.12168968655145718
DL,68,0.7366666666666667,1.0463917525773194,0.04804974561899378,0.018225369909745437
Debiased-HITL,68,0.7366666666666667,1.0463917525773194,0.04804974561899378,0.018225369909745437
FE-HITL,68,0.7366666666666667,1.0463917525773194,0.04804974561899378,0.018225369909745437
LR,69,0.73,1.382996632996633,0.10769230769230764,0.10600034885749168
DL,69,0.7333333333333333,1.141148325358852,0.009230769230769265,0.019194139194139176
Debiased-HITL,69,0.7333333333333333,1.141148325358852,0.009230769230769265,0.019194139194139176
FE-HITL,69,0.7333333333333333,1.141148325358852,0.009230769230769265,0.019194139194139176
LR,70,0.7733333333333333,1.487594390507012,0.15247322794492602,0.08065580589165493
DL,70,0.7533333333333333,2.1858529819694863,0.1626721060683325,0.09017443687255008
Debiased-HITL,70,0.7433333333333333,1.776005547850208,0.0815910249872514,0.04963389633200954
FE-HITL,70,0.7266666666666667,0.8196948682385575,0.08057113717491077,0.03902294232482912
LR,71,0.7633333333333333,1.2250440030173497,0.12440191387559807,0.05085677885560726
DL,71,0.75,1.6098334655035684,0.049441786283891564,0.03349657807345263
Debiased-HITL,71,0.7466666666666667,1.4488501189532117,0.01913875598086126,0.01834506292193748
FE-HITL,71,0.7333333333333333,0.8049167327517842,0.10207336523125995,0.04226099768412313
LR,72,0.7733333333333333,1.7280487804878049,0.21666666666666662,0.12817267121064585
DL,72,0.7666666666666667,1.7202295552367288,0.11666666666666664,0.09083089905874714
Debiased-HITL,72,0.7633333333333333,1.6420373027259685,0.08333333333333331,0.07416423239208048
FE-HITL,72,0.75,1.016499282639885,0.1166666666666667,0.04506653683868875
LR,73,0.75,1.199645075421473,0.12719050310910113,0.06359525155455056
DL,73,0.7166666666666667,1.284584980237154,0.15658564160542682,0.08282796819500365
Debiased-HITL,73,0.72,1.233201581027668,0.15658564160542682,0.07489146025849572
FE-HITL,73,0.72,1.0276679841897234,0.08762012436404748,0.024535685764790177
LR,74,0.7733333333333333,1.5853658536585364,0.21218487394957986,0.13664264469593695
DL,74,0.7233333333333334,0.9774436090225563,0.037815126050420145,0.015918405055810943
Debiased-HITL,74,0.7233333333333334,0.9774436090225563,0.037815126050420145,0.015918405055810943
FE-HITL,74,0.7233333333333334,0.9774436090225563,0.037815126050420145,0.015918405055810943
LR,75,0.7433333333333333,2.044077134986226,0.23271889400921658,0.1763594470046083
DL,75,0.6966666666666667,1.8068181818181817,0.003456221198156681,0.011728110599078339
Debiased-HITL,75,0.7033333333333334,0.6022727272727273,0.003456221198156681,0.004938556067588327
FE-HITL,75,0.7,1.2045454545454546,0.003456221198156681,0.0033947772657450066
LR,76,0.79,1.8229166666666665,0.07955124936257008,0.06771697788402509
DL,76,0.78,1.1367521367521367,0.08516063233044363,0.04624574099396836
Debiased-HITL,76,0.78,1.1367521367521367,0.08516063233044363,0.04624574099396836
FE-HITL,76,0.78,1.1367521367521367,0.08516063233044363,0.04624574099396836
LR,77,0.7566666666666667,1.3697877652933832,0.009044657998869388,0.04547767100056531
DL,77,0.7466666666666667,1.1289459604066345,0.11418880723572639,0.020427736951196533
Debiased-HITL,77,0.7466666666666667,1.1289459604066345,0.11418880723572639,0.020427736951196533
FE-HITL,77,0.7466666666666667,1.1289459604066345,0.11418880723572639,0.020427736951196533
LR,78,0.75,1.4172932330827068,0.12246963562753033,0.06895843747768333
DL,78,0.75,1.5255102040816328,0.13967611336032387,0.07265613412510505
Debiased-HITL,78,0.7466666666666667,1.459183673469388,0.11336032388663964,0.05949823938826293
FE-HITL,78,0.72,0.9285714285714286,0.09716599190283404,0.045764918506473906
LR,79,0.7233333333333334,1.1304347826086958,0.10389610389610388,0.022880284490191596
DL,79,0.7466666666666667,1.1535048802129546,0.04155844155844152,0.007019330858340125
Debiased-HITL,79,0.7466666666666667,1.1535048802129546,0.04155844155844152,0.007019330858340125
FE-HITL,79,0.7466666666666667,1.1535048802129546,0.04155844155844152,0.007019330858340125
LR,80,0.7066666666666667,1.3806060606060606,0.02638128422100544,0.03059338692760981
DL,80,0.6866666666666666,1.384297520661157,0.002488800398208091,0.03969721326625468
Debiased-HITL,80,0.6866666666666666,1.384297520661157,0.002488800398208091,0.03969721326625468
FE-HITL,80,0.6866666666666666,1.0151515151515151,0.09507217521154804,0.04356603315931304
LR,81,0.74,1.6148007590132827,0.17543859649122806,0.13605263157894737
DL,81,0.72,1.9078341013824882,0.22009569377990434,0.17671451355661882
Debiased-HITL,81,0.72,1.695852534562212,0.15948963317384368,0.12974481658692183
FE-HITL,81,0.7166666666666667,1.0069124423963134,0.05263157894736842,0.02631578947368421
LR,82,0.76,1.4694011844702786,0.14513556618819778,0.10124928994341396
DL,82,0.7133333333333334,0.0,0.10526315789473684,0.05948089401586157
Debiased-HITL,82,0.7233333333333334,1.3079896907216495,0.01594896331738438,0.00893766659019904
FE-HITL,82,0.7166666666666667,0.7847938144329897,0.04465709728867623,0.021365363712831265
LR,83,0.74,1.1082693947144076,0.09870129870129868,0.03352677594163661
DL,83,0.7266666666666667,0.8139130434782609,0.12987012987012986,0.09073485853671612
Debiased-HITL,83,0.7266666666666667,0.8139130434782609,0.12987012987012986,0.09073485853671612
FE-HITL,83,0.7266666666666667,0.8139130434782609,0.12987012987012986,0.09073485853671612
LR,84,0.73,1.9045832216563925,0.2649350649350649,0.17142857142857143
DL,84,0.7566666666666667,1.862191862191862,0.2649350649350649,0.1487012987012987
Debiased-HITL,84,0.7433333333333333,1.6138996138996138,0.1506493506493506,0.09155844155844153
FE-HITL,84,0.72,1.0552420552420552,0.07792207792207795,0.031655844155844166
LR,85,0.73,0.9495652173913043,0.05252100840336138,0.04486304503652642
DL,85,0.7333333333333333,1.1063829787234043,0.04201680672268909,0.005695336210709341
Debiased-HITL,85,0.7333333333333333,1.1063829787234043,0.04201680672268909,0.005695336210709341
FE-HITL,85,0.7333333333333333,1.1063829787234043,0.04201680672268909,0.005695336210709341
LR,86,0.7933333333333333,1.244186046511628,0.005252100840336116,0.0030944948573392445
DL,86,0.7633333333333333,1.3271317829457365,0.06512605042016806,0.03012875062391071
Debiased-HITL,86,0.7633333333333333,1.3271317829457365,0.06512605042016806,0.03012875062391071
FE-HITL,86,0.7566666666666667,1.1059431524547805,0.02310924369747902,0.023604281050297445
LR,87,0.7833333333333333,1.8980716253443528,0.24999999999999994,0.1524500907441016
DL,87,0.7533333333333333,1.4454545454545455,0.1166666666666667,0.06525257108287963
Debiased-HITL,87,0.7533333333333333,1.4454545454545455,0.1166666666666667,0.06525257108287963
