bias_rate_pct,seed,model,R2,RMSE,DI,EOD,AOD
30,42,LR,0.7391,1.9621,0.6722,0.1158,0.0905
30,42,DL,0.734,1.9811,0.686,0.1159,0.0843
30,42,Debiased-HITL,0.7264,2.009,0.6929,0.0877,0.0859
30,42,FE-HITL,0.7075,2.0774,0.8652,0.0102,0.0105
30,43,LR,0.74,2.0337,0.6247,0.1353,0.1028
30,43,DL,0.7336,2.0584,0.6502,0.1047,0.0842
30,43,Debiased-HITL,0.7291,2.0759,0.6515,0.0943,0.0805
30,43,FE-HITL,0.7214,2.105,0.8578,0.0416,0.0344
30,44,LR,0.7285,2.0411,0.6179,0.198,0.1406
30,44,DL,0.7283,2.0418,0.6235,0.1882,0.1323
30,44,Debiased-HITL,0.7228,2.0623,0.6659,0.1396,0.105
30,44,FE-HITL,0.7042,2.1304,0.8482,0.038,0.0015
