bias_type,seed,model,R2,RMSE,DI,EOD,AOD
uniform,42,DL,0.7337984205661131,1.98178342088307,0.6832215403643975,0.09773533919496658,0.08225766474075673
uniform,42,Debiased-HITL,0.726449293000013,2.0089530984502884,0.6929309116809117,0.08765225457772052,0.0859225190267113
uniform,42,FE-HITL,0.7074845905950169,2.0774245114150385,0.8652065527065528,0.010173832378801317,0.010525735719155258
uniform,43,DL,0.7318860424921627,2.065087945623362,0.5838849988198668,0.16396494659244776,0.12975963329215173
uniform,43,Debiased-HITL,0.7290665432838459,2.0759178300223273,0.6514563220226111,0.09429065743944631,0.0804663934275863
uniform,43,FE-HITL,0.7214118420879735,2.1050390945608974,0.8578182625390902,0.04157890777794504,0.034399797123347634
uniform,44,DL,0.7202409678601043,2.071747228282759,0.6156133064838465,0.21130738186555398,0.13659617763490464
uniform,44,Debiased-HITL,0.7227941912777087,2.062271648780501,0.6658617250249357,0.13961136568612265,0.10500348869412515
uniform,44,FE-HITL,0.7041855284801821,2.1303669513578454,0.8481810068770014,0.038007087611256374,0.001466974656692016
uniform,45,DL,0.7481813839880358,1.9779537995039371,0.6604729729729729,0.11183312817870406,0.07822827584205756
uniform,45,Debiased-HITL,0.740612063018588,2.0074609891003092,0.6661977491961414,0.10804492409278721,0.08271219881066454
uniform,45,FE-HITL,0.7090370524364508,2.1261361450540006,0.8199356913183279,0.003072548402179409,0.01325224990420458
uniform,46,DL,0.7280833889440245,2.071709427498679,0.7018214943278536,0.1281808283260072,0.08949396301912062
uniform,46,Debiased-HITL,0.7284054333070639,2.070482249795627,0.7177234737667134,0.1152558777271444,0.07806130879324788
uniform,46,FE-HITL,0.7147899819861989,2.121745847644477,0.868608522229034,0.03790781142880195,0.0035231721171173763
uniform,47,DL,0.7556290139320443,1.9146913874246902,0.5780526401526611,0.1741228070175438,0.1281702330775604
uniform,47,Debiased-HITL,0.7508458936674322,1.9333388930186919,0.6339054898717862,0.12337092731829569,0.10411966190443439
uniform,47,FE-HITL,0.7064236452615713,2.0986233466164435,0.8819554641694418,0.013533834586466176,0.03705999177521928
uniform,48,DL,0.7410495583019031,2.008388461613559,0.5795656547810065,0.15900955867398814,0.10585961657390225
uniform,48,Debiased-HITL,0.7257203412183872,2.0669795973275833,0.6772129725684937,0.10100671140939588,0.060943325876211735
uniform,48,FE-HITL,0.6769339494993631,2.2432880909768986,0.888842026496148,0.020205409802725338,0.06677682868958043
uniform,49,DL,0.7431571380040514,2.0038034241520646,0.5871905395951345,0.20413226270737062,0.11710372533864771
uniform,49,Debiased-HITL,0.740544080237485,2.013970737712438,0.6851465559880432,0.12483902734641306,0.06747120540252984
uniform,49,FE-HITL,0.7005013350845584,2.1638084352240288,0.9211414808283692,0.0030679493977728844,0.07167025289437516
uniform,50,DL,0.7511402448095816,2.0159690049057066,0.6090889276373147,0.14715504978662874,0.10252951552563287
uniform,50,Debiased-HITL,0.7437510577484863,2.0456793279760364,0.6523233827995187,0.11496266002844957,0.06591224336317092
uniform,50,FE-HITL,0.7371341316575082,2.071923018798977,0.8420901850684696,0.025577880512090978,0.04364374119281364
uniform,51,DL,0.744922937365989,1.9900112875420775,0.7490380767691692,0.07768660405338612,0.04207363910534474
uniform,51,Debiased-HITL,0.7366330140196057,2.022090100392787,0.7554757144360428,0.08235294117647052,0.043376845120070465
uniform,51,FE-HITL,0.718878449082966,2.089136930070385,0.8946422934111032,0.0023529411764705577,0.035948997576558714
uniform,52,DL,0.7196147095500658,2.0359117388895354,0.6907196604283233,0.060079059437210924,0.0759807061891937
uniform,52,Debiased-HITL,0.7065763296094523,2.082710498171475,0.7108440114370433,0.02125231778633585,0.04925360987356009
uniform,52,FE-HITL,0.7105690419225998,2.0684919001108995,0.8387959334957111,0.0255313079446583,0.011393104952721306
uniform,53,DL,0.7445497868300837,2.0183280582856367,0.5602250474029405,0.2247515401292206,0.1496495475001128
uniform,53,Debiased-HITL,0.7350147754648569,2.0556513237917695,0.6471814761890875,0.13938437761607314,0.10473262007488293
uniform,53,FE-HITL,0.6898450866085017,2.2239650387411998,0.8942871307340119,0.024137634962543175,0.046839706969142206
uniform,54,DL,0.7300888126231901,2.0637300291535756,0.6131907308377897,0.1474827225347881,0.10278030478002179
uniform,54,Debiased-HITL,0.7169457698125987,2.113378405986186,0.6611971104231167,0.08682768124501372,0.054330555486590146
uniform,54,FE-HITL,0.7150502988858467,2.120442712004202,0.8076367389060888,0.023934599484007335,0.020349068100679962
uniform,55,DL,0.719198362591864,2.08854638803228,0.6362881304741771,0.12122803666921322,0.10113210240107778
uniform,55,Debiased-HITL,0.7162356981560853,2.0995353313294833,0.7087903831705484,0.06272918258212379,0.05913829608089573
uniform,55,FE-HITL,0.7022340891658541,2.1507097115172753,0.8401953418482344,0.005452635599694333,0.014725340282740612
uniform,56,DL,0.7266823101372782,2.057467521831576,0.6225942731966829,0.10932569299045292,0.09061222688538176
uniform,56,Debiased-HITL,0.6797873085403795,2.2269906220064506,0.7713740532331237,0.03818835715931512,0.029895130324397834
uniform,56,FE-HITL,0.6319223101160184,2.387640104505544,0.9061118791253724,0.008054417407158843,0.04858957875814712
nonlinear,42,DL,0.7391700129894638,1.9807525769198806,0.8394275021493957,0.057362190159082505,0.05069677994544164
nonlinear,42,Debiased-HITL,0.7357673013109968,1.9936308706309809,0.8663003663003663,0.03255641879393267,0.039947689760951005
nonlinear,42,FE-HITL,0.7357673013109968,1.9936308706309809,0.8663003663003663,0.03255641879393267,0.039947689760951005
nonlinear,43,DL,0.7395972877818708,2.0606534343307663,0.8081178792675539,0.015017482517482472,0.04596748177136279
