seed,percentile,model,DI,R2
42,40,DL,0.7614119811429229,0.7337984205661131
42,40,FE-HITL,0.8958333333333334,0.7074845905950169
42,50,DL,0.7014555450407823,0.7337984205661131
42,50,FE-HITL,0.8632320060891489,0.7074845905950169
42,60,DL,0.6219592373438527,0.7337984205661131
42,60,FE-HITL,0.8087144442497518,0.7074845905950169
43,40,DL,0.6774416009429112,0.7318860424921627
43,40,FE-HITL,0.8910356656409223,0.7214118420879735
43,50,DL,0.6063512337998391,0.7318860424921627
43,50,FE-HITL,0.8534595508485391,0.7214118420879735
43,60,DL,0.5229547408321344,0.7318860424921627
43,60,FE-HITL,0.7646808180973041,0.7214118420879735
44,40,DL,0.6905056045327831,0.7202409678601043
44,40,FE-HITL,0.8874772889941089,0.7041855284801821
44,50,DL,0.6165179450664324,0.7202409678601043
44,50,FE-HITL,0.8441460015809504,0.7041855284801821
44,60,DL,0.5356336665591744,0.7202409678601043
44,60,FE-HITL,0.8238670297300307,0.7041855284801821
45,40,DL,0.6916421207658321,0.7481813839880358
45,40,FE-HITL,0.8493390357698289,0.7090370524364508
45,50,DL,0.6371317157712305,0.7481813839880358
45,50,FE-HITL,0.8263888888888888,0.7090370524364508
45,60,DL,0.6287796976241901,0.7481813839880358
45,60,FE-HITL,0.8749999999999999,0.7090370524364508
46,40,DL,0.7848829908864408,0.7280833889440245
46,40,FE-HITL,0.9153192910228122,0.7147899819861989
46,50,DL,0.7018214943278536,0.7280833889440245
46,50,FE-HITL,0.8338683109340829,0.7147899819861989
46,60,DL,0.5974317637520851,0.7280833889440245
46,60,FE-HITL,0.7190561451009505,0.7147899819861989
47,40,DL,0.6470520717756437,0.7556290139320443
47,40,FE-HITL,0.8874772889941089,0.7064236452615713
47,50,DL,0.6014802699759192,0.7556290139320443
47,50,FE-HITL,0.8735644944430053,0.7064236452615713
47,60,DL,0.5061221697790547,0.7556290139320443
47,60,FE-HITL,0.8529156409915938,0.7064236452615713
48,40,DL,0.6690134919076604,0.7410495583019031
48,40,FE-HITL,0.9049810804527212,0.6769339494993631
48,50,DL,0.5787249771696117,0.7410495583019031
48,50,FE-HITL,0.8595315326803377,0.6769339494993631
48,60,DL,0.5027989597566889,0.7410495583019031
48,60,FE-HITL,0.8354182008688733,0.6769339494993631
49,40,DL,0.701691721945284,0.7431571380040514
49,40,FE-HITL,0.9171369233673876,0.7005013350845584
49,50,DL,0.5910856675526477,0.7431571380040514
49,50,FE-HITL,0.9059160018064126,0.7005013350845584
49,60,DL,0.5202706450002772,0.7431571380040514
49,60,FE-HITL,0.8154193489337035,0.7005013350845584
50,40,DL,0.6900971967882801,0.7511402448095816
50,40,FE-HITL,0.818609667614472,0.7371341316575082
50,50,DL,0.6084122898296731,0.7511402448095816
50,50,FE-HITL,0.8372299496892571,0.7371341316575082
50,60,DL,0.5108408249603386,0.7511402448095816
50,60,FE-HITL,0.8025016458196181,0.7371341316575082
51,40,DL,0.7744210806494544,0.744922937365989
51,40,FE-HITL,0.8704236939531057,0.718878449082966
51,50,DL,0.7176847008634143,0.744922937365989
51,50,FE-HITL,0.8763692109883046,0.718878449082966
51,60,DL,0.668593039971442,0.744922937365989
51,60,FE-HITL,0.812136393018746,0.718878449082966
52,40,DL,0.7577953268745421,0.7196147095500658
52,40,FE-HITL,0.8604143489851178,0.7105690419225998
52,50,DL,0.6945961483184824,0.7196147095500658
52,50,FE-HITL,0.8373902384109273,0.7105690419225998
52,60,DL,0.578619256522743,0.7196147095500658
52,60,FE-HITL,0.7744637761207769,0.7105690419225998
53,40,DL,0.7019269369731032,0.7445497868300837
53,40,FE-HITL,0.8967938714711307,0.6898450866085017
53,50,DL,0.5621043574457624,0.7445497868300837
53,50,FE-HITL,0.8793231936587514,0.6898450866085017
53,60,DL,0.45370130110835155,0.7445497868300837
53,60,FE-HITL,0.8161000748067492,0.6898450866085017
54,40,DL,0.6814071185596946,0.7300888126231901
54,40,FE-HITL,0.8531596888383881,0.7150502988858467
54,50,DL,0.5958910747165422,0.7300888126231901
54,50,FE-HITL,0.8104805302402651,0.7150502988858467
54,60,DL,0.47582993593476997,0.7300888126231901
54,60,FE-HITL,0.7698209718670077,0.7150502988858467
55,40,DL,0.7286541244573081,0.719198362591864
55,40,FE-HITL,0.8562431544359256,0.7022340891658541
55,50,DL,0.6429668304668305,0.719198362591864
55,50,FE-HITL,0.8058880621158201,0.7022340891658541
55,60,DL,0.5650953984287318,0.719198362591864
55,60,FE-HITL,0.803030303030303,0.7022340891658541
56,40,DL,0.7444862829478214,0.7266823101372782
56,40,FE-HITL,0.9078144943979577,0.6319223101160184
56,50,DL,0.6141379842568299,0.7266823101372782
56,50,FE-HITL,0.8622226482005081,0.6319223101160184
56,60,DL,0.4876320434129765,0.7266823101372782
56,60,FE-HITL,0.7757847533632286,0.6319223101160184
