seed,n_test_total,n_unpriv,di_before,intervention_triggered,n_intervened,n_options_per_case,intervention_rate_pct
42,1500,468,0.6814458689458689,True,468,4,31.2
43,1500,461,0.6231321341085845,True,461,4,30.733333333333334
44,1500,443,0.6143367105884824,True,443,4,29.533333333333335
45,1500,480,0.6422829581993569,True,480,4,32.0
46,1500,449,0.672865756656294,True,449,4,29.933333333333334
47,1500,443,0.5748459721818683,True,443,4,29.533333333333335
48,1500,463,0.6348871617829629,True,463,4,30.866666666666667
49,1500,438,0.6280510096557063,True,438,4,29.2
50,1500,465,0.6206955824213602,True,465,4,31.0
51,1500,442,0.7236662106703146,True,442,4,29.466666666666665
52,1500,426,0.6729323308270677,True,426,4,28.4
53,1500,424,0.6040360444431483,True,424,4,28.266666666666666
54,1500,425,0.5990712074303406,True,425,4,28.333333333333332
55,1500,440,0.7008264462809918,True,440,4,29.333333333333332
56,1500,462,0.7309527054654492,True,462,4,30.8
