model,fold,DI_mean,DI_std,R2_mean,R2_std
DL,0,0.6183753081424226,0.020808782855351916,0.7389602489058743,0.003457994250881832
DL,1,0.683620927900056,0.021050384360742306,0.7306146386098701,0.005458932954842276
DL,2,0.6415536493965835,0.0179429917315565,0.7370052530517359,0.0032014186363223326
DL,3,0.6446810331773487,0.018859571904863277,0.7357251086125765,0.0031307213363761474
DL,4,0.6364952059716501,0.01611989791858344,0.7493015446222395,0.003487221160958567
Debiased-HITL,0,0.6814361651861096,0.03674469267918685,0.7227722746405684,0.030246971417527035
Debiased-HITL,1,0.7172725814501257,0.018119546967246956,0.7315762083033783,0.007131842851552355
Debiased-HITL,2,0.6791553856130553,0.018207534244852094,0.7328871028093239,0.009341854660717908
Debiased-HITL,3,0.6809664840334027,0.036790861924031804,0.7330713262688127,0.013001651848955536
Debiased-HITL,4,0.6725058176613296,0.023375167249665006,0.7388011498237911,0.014556524636201352
FE-HITL,0,0.8977355349554454,0.02915306562481902,0.6936416453906338,0.0433683748729894
FE-HITL,1,0.850255931327388,0.027350421629794702,0.7236893009421907,0.00942830604209696
FE-HITL,2,0.8708078633398341,0.011075065667937516,0.7094748943298207,0.018198656649139375
FE-HITL,3,0.8542662634686142,0.03193308222527965,0.7152192838263278,0.021075853217465034
FE-HITL,4,0.8404151649080965,0.016305381235364874,0.7214047782157482,0.027859941245759568
