seed,n_test_total,n_unpriv,n_routed_frac_0.10,n_routed_frac_0.25,n_routed_frac_0.50,n_routed_frac_0.75,n_routed_frac_1.00,di_before_monitor,triggered
42,1500,468,46,117,234,351,468,0.6862112246727631,True
43,1500,461,46,115,230,345,461,0.6356860782023471,True
44,1500,443,44,110,221,332,443,0.6165179450664324,True
45,1500,480,48,120,240,360,480,0.6419270833333334,True
46,1500,449,44,112,224,336,449,0.6913117232306681,True
47,1500,443,44,110,221,332,443,0.5718523216984124,True
48,1500,463,46,115,231,347,463,0.6122211751073496,True
49,1500,438,43,109,219,328,438,0.5960952077549719,True
50,1500,465,46,116,232,348,465,0.6180689124580975,True
51,1500,442,44,110,221,331,442,0.6962640477877897,True
52,1500,426,42,106,213,319,426,0.7000743815533748,True
53,1500,424,42,106,212,318,424,0.5824311784720074,True
54,1500,425,42,106,212,318,425,0.6429274050757426,True
55,1500,440,44,110,220,330,440,0.6900826446280991,True
56,1500,462,46,115,231,346,462,0.6535306345977603,True
57,1500,454,45,113,227,340,454,0.6050816535398034,True
58,1500,442,44,110,221,331,442,0.6909548910761766,True
59,1500,455,45,113,227,341,455,0.6178947955597701,True
60,1500,432,43,108,216,324,432,0.6704331450094161,True
61,1500,430,43,107,215,322,430,0.7349078202193035,True
62,1500,423,42,105,211,317,423,0.5894909688013136,True
63,1500,470,47,117,235,352,470,0.712427637019773,True
64,1500,475,47,118,237,356,475,0.603915933177654,True
65,1500,431,43,107,215,323,431,0.6304386625177505,True
66,1500,429,42,107,214,321,429,0.5629370629370629,True
67,1500,451,45,112,225,338,451,0.55269917235626,True
68,1500,432,43,108,216,324,432,0.6704331450094161,True
69,1500,449,44,112,224,336,449,0.6297468712197438,True
70,1500,436,43,109,218,327,436,0.569954128440367,True
71,1500,456,45,114,228,342,456,0.5867495371594815,True
