config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.10 frac=1.00,62,1.0,0.3,1.0003855125386594,0.7981642260063841,1.2528749941644233,-9.557122564342751e-05,0.00010231497825430435,True,True,False,True,False,True
uniform bias=0.10 frac=1.00,62,1.0,0.5,1.0006425208977656,0.7981642260063841,1.2528749941644233,-0.00015880478452710606,0.000170524963757174,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,62,1.0,0.7,1.0008995292568719,0.7981642260063841,1.2528749941644233,-0.0002216538701745451,0.00023873494926004331,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,62,1.0,1.0,1.0012850417955312,0.7981642260063841,1.2528749941644233,-0.000315206611327794,0.000341049927514347,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,67,1.0,0.3,1.0011063547909833,0.8030534411702873,1.2452471388986306,-1.7332365147780591e-06,0.00031410352567828127,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,67,1.0,0.5,1.0018439246516389,0.8072143398292009,1.2388283392135857,1.1239513244035246e-06,0.0005235058761304686,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,67,1.0,0.7,1.0025814945122944,0.8072143398292009,1.2388283392135857,7.191282242484978e-06,0.0007329082265826563,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,67,1.0,1.0,1.0036878493032775,0.8113752384881142,1.232475373371465,2.231129689315759e-05,0.001047011752260874,True,True,False,True,False,True
uniform bias=0.10 frac=1.00,70,1.0,0.3,1.0013996823029792,0.7976464486011606,1.2536882747409062,-0.000504825183004626,0.0003875645725032696,True,True,False,True,False,True
uniform bias=0.10 frac=1.00,70,1.0,0.5,1.0023328038382986,0.7976464486011606,1.2536882747409062,-0.0008344208549690069,0.0006459409541721158,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,70,1.0,0.7,1.003265925373618,0.7976464486011606,1.2536882747409062,-0.001158452966902826,0.0009043173358409617,True,True,False,True,False,False
uniform bias=0.10 frac=1.00,70,1.0,1.0,1.0046656076765974,0.7976464486011606,1.2536882747409062,-0.0016340694597456581,0.0012918819083442923,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,43,1.0,0.3,1.0074170281995662,0.7968779051750852,1.2548973857924772,-0.0002681813580819179,0.002087091194743485,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,43,1.0,0.5,1.0123617136659437,0.8129764487139758,1.230047932608468,-0.00027303276141257056,0.003478485324572474,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,43,1.0,0.7,1.017306399132321,0.8210257204834212,1.217988639151522,-0.00013873522976373665,0.0048698794544014025,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,43,1.0,1.0,1.0247234273318873,0.8330996281375891,1.2003366298884566,0.00032361532079560267,0.006956970649144886,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,44,1.0,0.3,1.0166378386004515,0.7456264108352144,1.3411542100283822,-0.0016390266968651086,0.004460026432562069,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,44,1.0,0.5,1.0277297310007525,0.774622993478806,1.2909505764979081,-0.0019049399773109136,0.007433377387603431,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,44,1.0,0.7,1.0388216234010534,0.7994772071733132,1.2508173979539317,-0.0015094363104523412,0.01040672834264479,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,44,1.0,1.0,1.055459462001505,0.8326161587659894,1.2010336209209393,0.0003239759660321428,0.014866754775206856,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,45,1.0,0.3,1.0144516129032257,0.7578405017921147,1.3195388708247118,0.0015682503906579784,0.004282000340351286,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,45,1.0,0.5,1.0240860215053764,0.7692652329749103,1.2999417588817705,0.0034154425883108947,0.007136667233918878,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,45,1.0,0.7,1.033720430107527,0.7959229390681003,1.2564030396847736,0.0059039883357351695,0.009991334127486401,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,45,1.0,1.0,1.0481720430107526,0.8111559139784945,1.2328086164043084,0.010839344862693057,0.01427333446783769,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,47,1.0,0.3,1.02777133876224,0.7329024106503131,1.3644381372858194,0.001857158651006162,0.007426903342327745,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,47,1.0,0.5,1.0462855646037335,0.7776908913011656,1.2858579304264266,0.005435137104382144,0.01237817223721293,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,47,1.0,0.7,1.0647997904452269,0.8306227320703549,1.2039160034874878,0.010885013706589222,0.017329441132098115,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,47,1.0,1.0,1.092571129207467,0.8550528124253653,1.1695184033878452,0.022569637638957498,0.02475634447442586,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,48,1.0,0.3,1.01838216415446,0.7478923654473196,1.3370907983555802,0.00035087176797820034,0.005169245186153725,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,48,1.0,0.5,1.0306369402574331,0.7754462947006419,1.2895799578048746,0.0015347328799637475,0.00861540864358952,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,48,1.0,0.7,1.0428917163604066,0.7990639483463468,1.2514642940273903,0.0034785512719493292,0.01206157210102538,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,48,1.0,1.0,1.0612738805148665,0.818745326384434,1.2213810177286553,0.007819198759927896,0.017230817287179102,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,49,1.0,0.3,1.022146244037689,0.7777203411734299,1.285809238949817,0.0011761967690533924,0.005926829831611179,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,49,1.0,0.5,1.0369104067294814,0.8234685965365728,1.214375392341494,0.003716671946510644,0.009878049719351923,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,49,1.0,0.7,1.051674569421274,0.8608989872882352,1.1615764622396898,0.007662222322438274,0.013829269607092671,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,49,1.0,1.0,1.0738208134589629,0.8983293780398975,1.1131774429797028,0.01621506388346228,0.019756099438703847,True,True,True,True,True,False
uniform bias=0.20 frac=1.00,50,1.0,0.3,1.0149511846988295,0.7524407650585213,1.329008270733743,-0.006455011914074036,0.004198416868093656,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,50,1.0,0.5,1.024918641164716,0.7642592063945189,1.308456596444046,-0.010040852955054766,0.006997361446822802,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,50,1.0,0.7,1.0348860976306025,0.791835569511847,1.2628884562693778,-0.013052693807980199,0.00979630602555195,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,50,1.0,1.0,1.049837282329432,0.819411932629175,1.2203874024526198,-0.016494204734764917,0.013994722893645605,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,53,1.0,0.3,1.0234780940198274,0.7570195075151902,1.3209699222710376,0.0065720652799327525,0.005920396209814265,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,53,1.0,0.5,1.0391301566997122,0.7871282379277261,1.2704410181404515,0.012798794917786245,0.009867327016357093,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,53,1.0,0.7,1.054782219379597,0.8430444515510073,1.1861770730597072,0.02050180678329191,0.013814257822899918,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,53,1.0,1.0,1.0782603133994244,0.8731531819635432,1.1452744153679932,0.03482435375839774,0.019734654032714183,True,True,True,True,True,True
uniform bias=0.20 frac=1.00,54,1.0,0.3,1.0123103448275863,0.7675456389452332,1.3028541226215646,-0.003390834443628964,0.003192334282738458,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,54,1.0,0.5,1.0205172413793104,0.780628803245436,1.2810185786670132,-0.0052171214259910705,0.00532055713789741,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,54,1.0,0.7,1.0287241379310346,0.7937119675456389,1.2599028878098646,-0.00669599295764077,0.0074487799930563646,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,54,1.0,1.0,1.0410344827586209,0.8067951318458417,1.2394720301697046,-0.008262896285029514,0.010641114275794821,True,True,False,True,False,True
uniform bias=0.20 frac=1.00,55,1.0,0.3,1.0058953265044814,0.7761683738796414,1.2883802453861224,-0.00038102159353590824,0.0016105314979916981,True,True,False,True,False,False
uniform bias=0.20 frac=1.00,55,1.0,0.5,1.0098255441741357,0.7888924455825864,1.2675999188476363,-0.0005336922600762764,0.0026842191633194967,True,True,False,True,False,False
