config,used_by,seed,interv_frac,bitwise_identical_to_R2,max_abs_diff_vs_R2,triggered,di_before_monitor,selected_alpha,selection_rule,n_qualifying,n_admissible,n_efficiency_rejections,n_reverse_rejections,di_after_monitor,n_routed,n_unpriv,R2,RMSE,DI,EOD,AOD,deposited_DI,abs_diff_R2routine_vs_deposited_DI
uniform bias=0.10 frac=1.00,bias sensitivity,42,1.0,True,0.0,False,0.969240612234854,,,,,,,0.969240612234854,0,468,0.7292020279482739,2.007500502883108,0.9642195573754508,0.0022948938611589975,0.015038894097031269,0.9642195573754508,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,43,1.0,True,0.0,False,0.87069017365608,,,,,,,0.87069017365608,0,461,0.7359206529705775,2.0624801474183387,0.8725705984198691,0.011111111111111183,0.03054021875951453,0.8725705984198691,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,44,1.0,True,0.0,False,0.8499871417550076,,,,,,,0.8499871417550076,0,443,0.7257280786899614,2.0628334841164095,0.8493300474247727,0.07075959824340183,0.05235178188032161,0.8493300474247727,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,45,1.0,True,0.0,False,0.8318645640074211,,,,,,,0.8318645640074211,0,480,0.7040426329016525,2.1493302574749906,0.8663723916532905,0.023726436359386205,0.03466979642560189,0.8663723916532905,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,46,1.0,True,0.0,False,0.934556061563009,,,,,,,0.934556061563009,0,449,0.7381917452384179,2.038715320606435,0.9075488716661892,0.07206116597642553,0.04165736361499339,0.9075488716661892,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,47,1.0,True,0.0,False,0.8095372460496614,,,,,,,0.8095372460496614,0,443,0.7376479521577095,1.987527154369979,0.8101882902114383,0.0613674389586818,0.06232068007971614,0.8101882902114383,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,48,1.0,True,0.0,False,0.8255978937743376,,,,,,,0.8255978937743376,0,463,0.7388873875054149,2.0160300635987536,0.823084965923574,0.07964766348819907,0.04374551453277781,0.823084965923574,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,49,1.0,True,0.0,False,0.8637568431221977,,,,,,,0.8637568431221977,0,438,0.7431440239690597,1.9991625458062205,0.8783817778489262,0.06704830481000568,0.022875065183907514,0.8783817778489262,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,50,1.0,True,0.0,False,0.8316199929103155,,,,,,,0.8316199929103155,0,465,0.7346722205702585,2.084243110021321,0.8268474248017914,0.051146427468759637,0.040544251394016455,0.8268474248017914,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,51,1.0,True,0.0,False,0.9619402038313527,,,,,,,0.9619402038313527,0,442,0.7402698909169052,2.018815185957339,0.9608374227264037,0.00401677804635292,0.005926456771031444,0.9608374227264036,1.1102230246251565e-16
uniform bias=0.10 frac=1.00,bias sensitivity,52,1.0,True,0.0,False,0.9546913835956917,,,,,,,0.9546913835956917,0,426,0.7273265466511176,2.026900639978316,0.9564585959335782,0.001201855889093828,0.003378705722324696,0.9564585959335782,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,53,1.0,True,0.0,False,0.8309400567707463,,,,,,,0.8309400567707463,0,424,0.73351161535819,2.0559540845782984,0.8459119496855345,0.028140787830204572,0.04862023180686385,0.8459119496855345,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,54,1.0,True,0.0,False,0.8401420959147424,,,,,,,0.8401420959147424,0,425,0.7153120553684864,2.123535892145195,0.8431372549019608,0.04164679992664588,0.01900151182470656,0.8431372549019608,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,55,1.0,True,0.0,False,0.9000999000999,,,,,,,0.9000999000999,0,440,0.7198005429172869,2.089022963486864,0.9023297491039426,0.010374680172444029,0.014232642609785406,0.9023297491039426,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,56,1.0,True,0.0,False,0.8911702822317347,,,,,,,0.8911702822317347,0,462,0.7222059081107663,2.0842112053729953,0.8894276455252065,0.016003430531732477,0.006600075921603943,0.8894276455252065,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,57,1.0,True,0.0,False,0.8492716807614393,,,,,,,0.8492716807614393,0,454,0.7583653039295446,1.9910805372025613,0.8586445387078323,0.022716961565882432,0.049993245033469004,0.8586445387078323,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,58,1.0,True,0.0,False,0.9125021874453139,,,,,,,0.9125021874453139,0,442,0.7631704197936179,1.9714510728310115,0.931566021495187,0.007881840923888883,0.010855039821478646,0.931566021495187,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,59,1.0,True,0.0,False,0.8813916710595677,,,,,,,0.8813916710595677,0,455,0.7042359276483201,2.091769012734878,0.8432115551791007,0.06814372512046929,0.06993595141522868,0.8432115551791007,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,60,1.0,True,0.0,False,0.8807012256379346,,,,,,,0.8807012256379346,0,432,0.7357192032996973,2.0017804065075606,0.8813626460685284,0.013788968824939962,0.02899563572825946,0.8813626460685284,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,61,1.0,True,0.0,False,0.9549472238908436,,,,,,,0.9549472238908436,0,430,0.726284529851852,2.0325090096794547,0.9762075134168158,0.05151263843535647,0.018348295974075488,0.9762075134168158,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,62,1.0,False,0.016069671090665594,True,0.7981642260063841,0.3,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.7981642260063841,423,423,0.7285817545170761,2.046743276083674,0.7848526254147961,0.06718778908418133,0.049127504781982155,0.7895243672327413,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,63,1.0,True,0.0,False,0.892219871462217,,,,,,,0.892219871462217,0,470,0.731784924949329,2.097516165158171,0.8916788698423637,0.047398564168750434,0.02864242532945329,0.8916788698423637,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,64,1.0,True,0.0,False,0.8226228554812445,,,,,,,0.8226228554812445,0,475,0.7113341943569562,2.083668800967196,0.8142159522517635,0.03225981741776551,0.026734967207753833,0.8142159522517635,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,65,1.0,True,0.0,False,0.823822495497686,,,,,,,0.823822495497686,0,431,0.7508669649421685,2.0247962013639462,0.840094304318539,0.040024378564276764,0.02474382770021749,0.840094304318539,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,66,1.0,True,0.0,False,0.8530092447802644,,,,,,,0.8530092447802644,0,429,0.7204100390360642,2.0477479219361316,0.8352613928822108,0.03808219178082195,0.03093101994195191,0.8352613928822108,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,67,1.0,True,0.0,True,0.7947316438524606,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8113752384881142,451,451,0.743122929352638,1.985541805815544,0.823689533844595,0.039705125731558266,0.04309734464946034,0.823689533844595,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,68,1.0,True,0.0,False,0.9112935928629359,,,,,,,0.9112935928629359,0,432,0.741168782486864,2.0522798380125034,0.9218455743879472,0.012944983818770295,0.011111649486390013,0.9218455743879472,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,69,1.0,True,0.0,False,0.9042851438192903,,,,,,,0.9042851438192903,0,449,0.7204761829379356,2.1006925050603535,0.8966290438262053,0.051260461318636485,0.025023084162935652,0.8966290438262053,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,70,1.0,False,0.05600199291835395,True,0.7933348461762896,0.3,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.7976464486011606,436,436,0.7099300727100756,2.1422648546921272,0.7826674951569867,0.07544723192547897,0.058298084047845866,0.7972513615263715,0.0
uniform bias=0.10 frac=1.00,bias sensitivity,71,1.0,True,0.0,False,0.8044096728307254,,,,,,,0.8044096728307254,0,456,0.7402840550269939,2.0615001860179554,0.7868676545733265,0.10039577079708628,0.044324042367624994,0.7868676545733265,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,42,1.0,True,0.0,False,0.8128392288976231,,,,,,,0.8128392288976231,0,468,0.7281463141464176,2.0021014163187787,0.8143252238316223,0.044230769230769296,0.057256610576923106,0.8143252238316223,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,43,1.0,True,0.0,True,0.7646808180973039,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8330996281375891,461,461,0.7345911709928181,2.056503253829955,0.8348916192979401,0.007459207459207473,0.005735140584292767,0.8348916192979401,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,44,1.0,True,0.0,True,0.7207721971407072,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8326161587659894,443,443,0.7207327758847017,2.070960356915507,0.8326161587659894,0.06348787038260029,0.04046193559444468,0.8326161587659894,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,45,1.0,True,0.0,True,0.7311827956989247,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8111559139784945,480,480,0.7150485581048005,2.101462735137952,0.8424352750809061,0.010932220234545875,0.018473348721040825,0.8424352750809061,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,46,1.0,True,0.0,False,0.805421845439088,,,,,,,0.805421845439088,0,449,0.7313688655301511,2.05740910616144,0.7901111977680043,0.11617028664017592,0.06835652278187221,0.7901111977680043,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,47,1.0,True,0.0,True,0.6677555297036186,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8550528124253653,443,443,0.7209835294811644,2.0430949859766567,0.8636211627182282,0.023246686592398036,0.003238418129402121,0.8636211627182282,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,48,1.0,True,0.0,True,0.7124658849787623,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.818745326384434,463,463,0.7305359666557054,2.043739656818278,0.8261980999561993,0.06306437783899155,0.006987975985942224,0.8261980999561993,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,49,1.0,False,0.4253076666345983,True,0.6945416950586246,0.7,target met; minimum deviation (practicality),2.0,4.0,0.0,0.0,0.8608989872882352,438,438,0.7331206846646736,2.0354653677970695,0.8552999069025137,0.05225181777711829,0.004931789781460041,0.9063040297911956,1.1102230246251565e-16
uniform bias=0.20 frac=1.00,bias sensitivity,50,1.0,True,0.0,True,0.7288038823865258,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.819411932629175,465,465,0.7049317928532254,2.191780804542613,0.7980120030007501,0.03592065691210755,0.015356316160034744,0.7980120030007501,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,51,1.0,True,0.0,False,0.8121363930187461,,,,,,,0.8121363930187461,0,442,0.734249980127576,2.0318415018489437,0.8583344759815348,0.04053680132816828,0.023700018323003114,0.8583344759815348,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,52,1.0,True,0.0,False,0.8373902384109273,,,,,,,0.8373902384109273,0,426,0.7078329368301366,2.08318185435069,0.7927761883802817,0.032804232804232836,0.04815743944301786,0.7927761883802817,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,53,1.0,True,0.0,True,0.6881995522865366,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8731531819635432,424,424,0.7171283163609419,2.1166003569819005,0.8914198710293767,0.0022385022385021935,0.0037536501190724852,0.8914198710293767,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,54,1.0,True,0.0,True,0.7413793103448275,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8067951318458417,425,425,0.7146169969690225,2.1193114538154427,0.8069578577699736,0.03970026589315934,0.007833604020959839,0.8069578577699736,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,55,1.0,True,0.0,True,0.7719270166453265,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8185819462227913,440,440,0.716018056621335,2.0966979231678944,0.8167105466935108,0.013445168643373528,0.0356088737484212,0.8167105466935108,0.0
uniform bias=0.20 frac=1.00,bias sensitivity,56,1.0,True,0.0,True,0.7676741862788374,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8319819715168552,462,462,0.6722290375711749,2.2533779930080575,0.8910141180747714,0.0027013617068195606,0.011297018348325139,0.8910141180747714,0.0
