seed,variant,monitor_threshold,triggered,di_before_monitor,selected_alpha,R2,RMSE,DI,EOD,AOD
42,Algorithm 1,median(y_train) [aligned],True,0.6814458689458689,1.0,0.7060267798365885,2.0825947140787266,0.8766915954415955,0.010173832378801317,0.01580742586000032
42,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6814458689458689,1.0,0.7060267798365885,2.0825947140787266,0.8766915954415955,0.010173832378801317,0.01580742586000032
43,Algorithm 1,median(y_train) [aligned],True,0.6231321341085845,1.0,0.7190932790369111,2.113780587824872,0.861864575098237,0.04157890777794504,0.036204851274972194
43,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6231321341085845,1.0,0.7190932790369111,2.113780587824872,0.861864575098237,0.04157890777794504,0.036204851274972194
44,Algorithm 1,median(y_train) [aligned],True,0.6143367105884824,1.0,0.7036205444796559,2.1324004034007276,0.8521444695259593,0.038007087611256374,0.0004861503433079839
44,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6143367105884824,1.0,0.7036205444796559,2.1324004034007276,0.8521444695259593,0.038007087611256374,0.0004861503433079839
45,Algorithm 1,median(y_train) [aligned],True,0.6422829581993569,1.0,0.7091714693885005,2.125644979843906,0.8199356913183279,0.003072548402179409,0.01325224990420458
45,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6422829581993569,1.0,0.7091714693885005,2.125644979843906,0.8199356913183279,0.003072548402179409,0.01325224990420458
46,Algorithm 1,median(y_train) [aligned],True,0.672865756656294,1.0,0.7100949655072362,2.1391382409051376,0.9053102907739227,0.02685808767189579,0.022107735488107766
46,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.672865756656294,1.0,0.7100949655072362,2.1391382409051376,0.9053102907739227,0.02685808767189579,0.022107735488107766
47,Algorithm 1,median(y_train) [aligned],True,0.5748459721818683,1.0,0.707643500156622,2.094258756663632,0.8819554641694418,0.013533834586466176,0.03705999177521928
47,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5748459721818683,1.0,0.707643500156622,2.094258756663632,0.8819554641694418,0.013533834586466176,0.03705999177521928
48,Algorithm 1,median(y_train) [aligned],True,0.6348871617829629,1.0,0.6869649271942357,2.208187205184672,0.8641519702045883,0.0020235916209071503,0.050974510202698164
48,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6348871617829629,1.0,0.6869649271942357,2.208187205184672,0.8641519702045883,0.0020235916209071503,0.050974510202698164
49,Algorithm 1,median(y_train) [aligned],True,0.6280510096557063,1.0,0.7120765047717005,2.1215824635944247,0.8868841530289672,0.008559957578971211,0.05269840466916102
