comparison,metric,Full_M,w/o HED_M,mean_diff,diff_CI_lo,diff_CI_hi,t_stat,df,p_raw,Cohen's_d,w/o MOG_M,w/o F&U_M,p_BH,p_Bonferroni,sig_BH_0.05,sig_Bonf_0.05
Full vs w/o HED,R2,0.7022,0.7245,-0.0224,-0.0303,-0.0144,-5.7574,29,3e-06,-1.0512,,,,4.7e-05,False,True
Full vs w/o HED,RMSE,2.1518,2.07,0.0818,0.0532,0.1105,5.8409,29,2e-06,1.0664,,,,3.7e-05,False,True
Full vs w/o HED,DI,0.864,0.6393,0.2247,0.2002,0.2492,18.7716,29,0.0,3.4272,,,,0.0,False,True
Full vs w/o HED,EOD,0.0252,0.1263,-0.1011,-0.1192,-0.0829,-11.397,29,0.0,-2.0808,,,,0.0,False,True
Full vs w/o HED,AOD,0.036,0.0947,-0.0587,-0.0726,-0.0448,-8.6601,29,0.0,-1.5811,,,,0.0,False,True
Full vs w/o MOG,R2,0.7022,,-0.0214,-0.0278,-0.015,-6.8205,29,0.0,-1.2452,0.7235,,,3e-06,False,True
Full vs w/o MOG,RMSE,2.1518,,0.078,0.0551,0.101,6.954,29,0.0,1.2696,2.0738,,,2e-06,False,True
Full vs w/o MOG,DI,0.864,,0.16,0.1424,0.1776,18.6041,29,0.0,3.3966,0.704,,,0.0,False,True
Full vs w/o MOG,EOD,0.0252,,-0.0521,-0.0684,-0.0358,-6.5338,29,0.0,-1.1929,0.0773,,,6e-06,False,True
Full vs w/o MOG,AOD,0.036,,-0.0195,-0.0346,-0.0045,-2.6561,29,0.012713,-0.4849,0.0556,,,0.19069,False,False
Full vs w/o F&U,R2,0.7022,,0.0,0.0,0.0,,29,,0.0,,0.7022,,,False,False
Full vs w/o F&U,RMSE,2.1518,,0.0,0.0,0.0,,29,,0.0,,2.1518,,,False,False
Full vs w/o F&U,DI,0.864,,0.0,0.0,0.0,,29,,0.0,,0.864,,,False,False
Full vs w/o F&U,EOD,0.0252,,0.0,0.0,0.0,,29,,0.0,,0.0252,,,False,False
Full vs w/o F&U,AOD,0.036,,0.0,0.0,0.0,,29,,0.0,,0.036,,,False,False
