variant,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
Full,R2,30,0.7022,0.0238,0.7083,0.0281,0.6933,0.711,0.6319,0.7371
Full,RMSE,30,2.1518,0.0817,2.1242,0.1293,2.1213,2.1823,2.0405,2.3876
Full,DI,30,0.864,0.0399,0.8574,0.0526,0.8491,0.8789,0.7904,0.9512
Full,EOD,30,0.0252,0.0186,0.024,0.0294,0.0183,0.0321,0.0001,0.076
Full,AOD,30,0.036,0.0252,0.0343,0.0345,0.0266,0.0455,0.0015,0.0925
w/o F&U,R2,30,0.7022,0.0238,0.7083,0.0281,0.6933,0.711,0.6319,0.7371
w/o F&U,RMSE,30,2.1518,0.0817,2.1242,0.1293,2.1213,2.1823,2.0405,2.3876
w/o F&U,DI,30,0.864,0.0399,0.8574,0.0526,0.8491,0.8789,0.7904,0.9512
w/o F&U,EOD,30,0.0252,0.0186,0.024,0.0294,0.0183,0.0321,0.0001,0.076
w/o F&U,AOD,30,0.036,0.0252,0.0343,0.0345,0.0266,0.0455,0.0015,0.0925
w/o HED,R2,30,0.7245,0.0179,0.7273,0.0233,0.7178,0.7312,0.6767,0.7575
w/o HED,RMSE,30,2.07,0.0635,2.0618,0.0713,2.0463,2.0937,1.9294,2.2185
w/o HED,DI,30,0.6393,0.0578,0.6315,0.0797,0.6177,0.6608,0.5258,0.74
w/o HED,EOD,30,0.1263,0.0452,0.1246,0.0638,0.1094,0.1432,0.0555,0.2217
w/o HED,AOD,30,0.0947,0.0269,0.0946,0.0395,0.0847,0.1048,0.0535,0.1463
w/o MOG,R2,30,0.7235,0.0174,0.726,0.0182,0.717,0.73,0.6726,0.7529
w/o MOG,RMSE,30,2.0738,0.061,2.0654,0.0673,2.051,2.0966,1.9416,2.2518
w/o MOG,DI,30,0.704,0.0486,0.7052,0.0618,0.6858,0.7222,0.5965,0.8051
w/o MOG,EOD,30,0.0773,0.0386,0.0793,0.0545,0.0629,0.0917,0.0099,0.1438
w/o MOG,AOD,30,0.0556,0.0223,0.0546,0.0321,0.0473,0.0639,0.0091,0.0984
