comparison,metric,FE-HITL_M,LR_M,mean_diff,diff_CI_lo,diff_CI_hi,t_stat,df,p_raw,Cohen's_d,DL_M,Debiased-HITL_M,p_BH,p_Bonferroni,sig_BH_0.05,sig_Bonf_0.05
FE-HITL vs LR,R2,0.7022,0.7422,-0.04,-0.0487,-0.0314,-9.4924,29,0.0,-1.7331,,,0.0,0.0,True,True
FE-HITL vs LR,RMSE,2.1518,2.0028,0.1491,0.1182,0.1799,9.8803,29,0.0,1.8039,,,0.0,0.0,True,True
FE-HITL vs LR,DI,0.864,0.6335,0.2305,0.2048,0.2562,18.3204,29,0.0,3.3448,,,0.0,0.0,True,True
FE-HITL vs LR,EOD,0.0252,0.1309,-0.1057,-0.1206,-0.0908,-14.4788,29,0.0,-2.6435,,,0.0,0.0,True,True
FE-HITL vs LR,AOD,0.036,0.098,-0.062,-0.0736,-0.0504,-10.9347,29,0.0,-1.9964,,,0.0,0.0,True,True
FE-HITL vs DL,R2,0.7022,,-0.0353,-0.0441,-0.0265,-8.2085,29,0.0,-1.4987,0.7374,,0.0,0.0,True,True
FE-HITL vs DL,RMSE,2.1518,,0.1306,0.0992,0.1619,8.5107,29,0.0,1.5538,2.0213,,0.0,0.0,True,True
FE-HITL vs DL,DI,0.864,,0.2096,0.1852,0.2341,17.5431,29,0.0,3.2029,0.6543,,0.0,0.0,True,True
FE-HITL vs DL,EOD,0.0252,,-0.0925,-0.1075,-0.0776,-12.6661,29,0.0,-2.3125,0.1177,,0.0,0.0,True,True
FE-HITL vs DL,AOD,0.036,,-0.0497,-0.0621,-0.0373,-8.1814,29,0.0,-1.4937,0.0857,,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,R2,0.7022,,-0.0228,-0.0299,-0.0157,-6.5947,29,0.0,-1.204,,0.725,0.0,5e-06,True,True
FE-HITL vs Debiased-HITL,RMSE,2.1518,,0.0835,0.0581,0.1089,6.7208,29,0.0,1.227,,2.0683,0.0,3e-06,True,True
FE-HITL vs Debiased-HITL,DI,0.864,,0.1852,0.1645,0.2059,18.2919,29,0.0,3.3396,,0.6788,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,EOD,0.0252,,-0.0692,-0.0849,-0.0535,-8.9932,29,0.0,-1.6419,,0.0944,0.0,0.0,True,True
FE-HITL vs Debiased-HITL,AOD,0.036,,-0.0347,-0.0477,-0.0218,-5.4805,29,7e-06,-1.0006,,0.0707,7e-06,0.0001,True,True
