model,metric,seed,value,z_score,outlier
FE-HITL,DI,42,0.8652065527065528,0.030962942399031117,False
FE-HITL,DI,43,0.8578182625390902,-0.1541270059038848,False
FE-HITL,DI,44,0.8481810068770014,-0.395557582105878,False
FE-HITL,DI,45,0.8199356913183279,-1.1031535045803067,False
FE-HITL,DI,46,0.868608522229034,0.11618839358896324,False
FE-HITL,DI,47,0.8819554641694418,0.4505532788003601,False
FE-HITL,DI,48,0.888842026496148,0.6230740428938215,False
FE-HITL,DI,49,0.9211414808283692,1.4322334284971643,False
FE-HITL,DI,50,0.8420901850684696,-0.548143615966349,False
FE-HITL,DI,51,0.8946422934111032,0.7683811544309544,False
FE-HITL,DI,52,0.8387959334957111,-0.6306705389050108,False
FE-HITL,DI,53,0.8942871307340119,0.7594836910054568,False
FE-HITL,DI,54,0.8076367389060888,-1.411264368469559,False
FE-HITL,DI,55,0.8401953418482344,-0.5956128443975739,False
FE-HITL,DI,56,0.9061118791253724,1.0557148918441173,False
FE-HITL,DI,57,0.944590694915593,2.0196783886670033,True
FE-HITL,DI,58,0.7904453974471535,-1.841938371489248,False
FE-HITL,DI,59,0.8637514998000267,-0.005488748200907095,False
FE-HITL,DI,60,0.826723829939264,-0.9330984312217585,False
FE-HITL,DI,61,0.8408392835773266,-0.5794809466720814,False
FE-HITL,DI,62,0.8180765762472278,-1.1497276786584285,False
FE-HITL,DI,63,0.8222553885668669,-1.0450409191134649,False
FE-HITL,DI,64,0.8508771929824562,-0.32801327407756065,False
FE-HITL,DI,65,0.8621920229808862,-0.04455644550189979,False
FE-HITL,DI,66,0.9217859064012912,1.4483774473802469,False
FE-HITL,DI,67,0.9511955599353972,2.1851421289038253,True
FE-HITL,DI,68,0.8569227806662815,-0.17656043634416385,False
FE-HITL,DI,69,0.9045512987149852,1.0166195475988176,False
FE-HITL,DI,70,0.8412036960782698,-0.5703517585335922,False
FE-HITL,DI,71,0.8482582355168496,-0.39362286586801665,False
FE-HITL,EOD,42,0.0101738323788013,-0.8081327813169715,False
FE-HITL,EOD,43,0.041578907777945,0.8803564479704267,False
FE-HITL,EOD,44,0.0380070876112563,0.6883180655193585,False
FE-HITL,EOD,45,0.0030725484021794,-1.1899322629690423,False
FE-HITL,EOD,46,0.0379078114288019,0.6829804962676195,False
FE-HITL,EOD,47,0.0135338345864661,-0.6274827600729982,False
FE-HITL,EOD,48,0.0202054098027253,-0.26878650630308826,False
FE-HITL,EOD,49,0.0030679493977728,-1.1901795277600766,False
FE-HITL,EOD,50,0.0255778805120909,0.02006358598719134,False
FE-HITL,EOD,51,0.0023529411764705,-1.2286218389208325,False
FE-HITL,EOD,52,0.0255313079446583,0.01755961879428485,False
FE-HITL,EOD,53,0.0241376349625431,-0.05737100275469343,False
FE-HITL,EOD,54,0.0239345994840073,-0.06828717519859898,False
FE-HITL,EOD,55,0.0054526355996943,-1.061967227168545,False
FE-HITL,EOD,56,0.0080544174071588,-0.9220828134861794,False
FE-HITL,EOD,57,0.0426841214711907,0.9397780985599744,False
FE-HITL,EOD,58,0.0210758100031456,-0.22198956839096531,False
FE-HITL,EOD,59,0.0297223723839679,0.24289157788318552,False
FE-HITL,EOD,60,0.0173271430940142,-0.42353608976715773,False
FE-HITL,EOD,61,0.0540758517585961,1.5522527909071708,False
FE-HITL,EOD,62,0.0155473294553145,-0.5192275065489559,False
FE-HITL,EOD,63,0.0482557025110216,1.2393333282892702,False
FE-HITL,EOD,64,0.0396416298478153,0.7761989868726142,False
FE-HITL,EOD,65,0.0379014189693801,0.6826368066332152,False
FE-HITL,EOD,66,0.0760122987128042,2.7316626136909323,True
FE-HITL,EOD,67,0.0477732132655004,1.2133923654367578,False
FE-HITL,EOD,68,0.0034843205574912,-1.1677933940019138,False
FE-HITL,EOD,69,0.0001442085832948,-1.3473740197882242,False
FE-HITL,EOD,70,0.0060985411726881,-1.0272402096633915,False
FE-HITL,EOD,71,0.0338084679548094,0.46257990129962717,False
FE-HITL,AOD,42,0.0105257357191552,-1.0109004614033859,False
FE-HITL,AOD,43,0.0343997971233476,-0.06492468102823544,False
FE-HITL,AOD,44,0.001466974656692,-1.3698410044561415,False
FE-HITL,AOD,45,0.0132522499042045,-0.9028662086535372,False
FE-HITL,AOD,46,0.0035231721171173,-1.2883671000248806,False
FE-HITL,AOD,47,0.0370599917752192,0.04048175439762535,False
FE-HITL,AOD,48,0.0667768286895804,1.2179692172307157,False
