model,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
DL,R2,30,0.7374,0.0123,0.7356,0.0176,0.7328,0.742,0.7109,0.7576
DL,RMSE,30,2.0213,0.038,2.0182,0.0525,2.0071,2.0354,1.924,2.1105
DL,DI,30,0.6543,0.0423,0.6537,0.0615,0.6386,0.6701,0.5808,0.7342
DL,EOD,30,0.1177,0.0384,0.1159,0.0458,0.1034,0.132,0.039,0.1944
DL,AOD,30,0.0857,0.0246,0.0843,0.0407,0.0766,0.0949,0.0468,0.1323
Debiased-HITL,R2,30,0.725,0.017,0.7274,0.0198,0.7186,0.7313,0.6798,0.7553
Debiased-HITL,RMSE,30,2.0683,0.0597,2.0603,0.0726,2.0461,2.0906,1.9333,2.227
Debiased-HITL,DI,30,0.6788,0.0458,0.673,0.056,0.6617,0.6959,0.5789,0.7714
Debiased-HITL,EOD,30,0.0944,0.0368,0.0976,0.0541,0.0807,0.1081,0.0213,0.1678
Debiased-HITL,AOD,30,0.0707,0.0208,0.0698,0.0276,0.063,0.0785,0.0299,0.105
FE-HITL,R2,30,0.7022,0.0238,0.7083,0.0281,0.6933,0.711,0.6319,0.7371
FE-HITL,RMSE,30,2.1518,0.0817,2.1242,0.1293,2.1213,2.1823,2.0405,2.3876
FE-HITL,DI,30,0.864,0.0399,0.8574,0.0526,0.8491,0.8789,0.7904,0.9512
FE-HITL,EOD,30,0.0252,0.0186,0.024,0.0294,0.0183,0.0321,0.0001,0.076
FE-HITL,AOD,30,0.036,0.0252,0.0343,0.0345,0.0266,0.0455,0.0015,0.0925
LR,R2,30,0.7422,0.0122,0.7425,0.018,0.7377,0.7467,0.718,0.7641
LR,RMSE,30,2.0028,0.037,2.0033,0.0551,1.9889,2.0166,1.9013,2.0652
LR,DI,30,0.6335,0.0435,0.6305,0.0632,0.6172,0.6497,0.5648,0.7389
LR,EOD,30,0.1309,0.0377,0.1269,0.0533,0.1168,0.145,0.0537,0.2161
LR,AOD,30,0.098,0.0231,0.0983,0.0291,0.0894,0.1066,0.0646,0.1406
