model,metric,seed,value,z_score,outlier
FE-HITL,DI,42,0.8922099757145526,-0.6331561958755372,False
FE-HITL,DI,43,1.1918626353116837,0.7204220775906401,False
FE-HITL,DI,44,1.1425287356321838,0.49757308021711455,False
FE-HITL,DI,45,1.2350853473043772,0.9156658773695364,False
FE-HITL,DI,46,1.162150253359771,0.5862065671489545,False
FE-HITL,DI,47,1.056908485003845,0.11081291871859206,False
FE-HITL,DI,48,1.0789473684210529,0.21036602732471424,False
FE-HITL,DI,49,0.9808638600328048,-0.23269263305282004,False
FE-HITL,DI,50,1.0881226053639848,0.2518120181480699,False
FE-HITL,DI,51,1.154285714285714,0.5506812050988346,False
FE-HITL,DI,52,0.9829867674858224,-0.22310312562496232,False
FE-HITL,DI,53,1.228163992869875,0.884401028934363,False
FE-HITL,DI,54,0.8873626373626374,-0.6550523869058891,False
FE-HITL,DI,55,0.9823917828319884,-0.2257907650457446,False
FE-HITL,DI,56,1.0922459893048129,0.2704379930450327,False
FE-HITL,DI,57,1.0957816377171217,0.28640907396235415,False
FE-HITL,DI,58,1.2141706924315618,0.8211910862198519,False
FE-HITL,DI,59,1.017857142857143,-0.0655881462695726,False
FE-HITL,DI,60,1.0275689223057645,-0.0217185084161224,False
FE-HITL,DI,61,1.0673854447439353,0.15813899650222388,False
FE-HITL,DI,62,0.0,-4.663409223232838,True
FE-HITL,DI,63,0.8947368421052632,-0.6217419422826737,False
FE-HITL,DI,64,1.0568213783403655,0.11041944419606131,False
FE-HITL,DI,65,0.9636363636363636,-0.3105119484554953,False
FE-HITL,DI,66,1.1264367816091954,0.4248831886192281,False
FE-HITL,DI,67,0.9916094584286802,-0.18415307213717508,False
FE-HITL,DI,68,0.9027693551647462,-0.5854578152762011,False
FE-HITL,DI,69,1.2460815047021945,0.9653372527723472,False
FE-HITL,DI,70,1.068817818389492,0.16460925392866527,False
FE-HITL,DI,71,1.1415182755388942,0.4930086727784477,False
FE-HITL,EOD,42,0.1948051948051947,1.1237840064525142,False
FE-HITL,EOD,43,0.1382211538461538,0.3924359876778532,False
FE-HITL,EOD,44,0.0246036085292509,-1.076069358656564,False
FE-HITL,EOD,45,0.0139372822299651,-1.2139314921198392,False
FE-HITL,EOD,46,0.0862068965517241,-0.2798476346221651,False
FE-HITL,EOD,47,0.1497695852534562,0.5416993185841662,False
FE-HITL,EOD,48,0.0431930016402405,-0.8358016861552886,False
FE-HITL,EOD,49,0.05,-0.7478213178423209,False
FE-HITL,EOD,50,0.1798941798941798,0.9310593259903323,False
FE-HITL,EOD,51,0.0484913793103448,-0.7673202213098278,False
FE-HITL,EOD,52,0.1180973209404046,0.1323357000998507,False
FE-HITL,EOD,53,0.0542264752791068,-0.693194177938822,False
FE-HITL,EOD,54,0.0460829493087557,-0.7984491488336618,False
FE-HITL,EOD,55,0.0399125205030071,-0.878201863655513,False
FE-HITL,EOD,56,0.1334062329141607,0.3302031951009004,False
FE-HITL,EOD,57,0.1519956260251502,0.5704708676021744,False
FE-HITL,EOD,58,0.2121848739495798,1.3484161411278386,False
FE-HITL,EOD,59,0.0894396551724138,-0.23806427004893632,False
FE-HITL,EOD,60,0.0158730158730158,-1.1889121590936709,False
FE-HITL,EOD,61,0.0246036085292509,-1.076069358656564,False
FE-HITL,EOD,62,0.3333333333333333,2.9142584571979495,True
FE-HITL,EOD,63,0.1666666666666666,0.7600938836448485,False
FE-HITL,EOD,64,0.0166666666666666,-1.1786542325529417,False
FE-HITL,EOD,65,0.0972886762360446,-0.13661577137486297,False
FE-HITL,EOD,66,0.0294117647058823,-1.0139240004577046,False
FE-HITL,EOD,67,0.1580826109127995,0.6491450708305373,False
FE-HITL,EOD,68,0.2357263990955342,1.652690057988785,False
FE-HITL,EOD,69,0.0984615384615384,-0.1214565418399586,False
FE-HITL,EOD,70,0.1448240693523712,0.4777785876718008,False
FE-HITL,EOD,71,0.1403508771929824,0.4199626351890958,False
FE-HITL,AOD,42,0.0857233044733044,0.9407246458917681,False
FE-HITL,AOD,43,0.087544711140144,0.9818924669660666,False
FE-HITL,AOD,44,0.0187953107581319,-0.5719961101537682,False
FE-HITL,AOD,45,0.0069686411149825,-0.8393050141113958,False
FE-HITL,AOD,46,0.0338155225792676,-0.23250608631219605,False
FE-HITL,AOD,47,0.0394009216589861,-0.10626370775465085,False
FE-HITL,AOD,48,0.0037240693132709,-0.9126395164097447,False
FE-HITL,AOD,49,0.0261337868480725,-0.4061303119611587,False
FE-HITL,AOD,50,0.0366137566137566,-0.16925980520807646,False
FE-HITL,AOD,51,0.0047947143852316,-0.8884405686629268,False
FE-HITL,AOD,52,0.0441955413151797,0.0021053059966719004,False
FE-HITL,AOD,53,0.0256469619797293,-0.4171336312304609,False
FE-HITL,AOD,54,0.0321117694389583,-0.27101467734350576,False
FE-HITL,AOD,55,0.0233576207957212,-0.46887780783699534,False
FE-HITL,AOD,56,0.0350079597619236,-0.20555436736241275,False
FE-HITL,AOD,57,0.0498426255670651,0.12974190594197035,False
FE-HITL,AOD,58,0.0657113117479296,0.48840932781517116,False
FE-HITL,AOD,59,0.0009028850350871,-0.9764045238056037,False
FE-HITL,AOD,60,0.0072871871753396,-0.8321051682694686,False
FE-HITL,AOD,61,0.0195124760588809,-0.5557865874154119,False
FE-HITL,AOD,62,0.2304250559284116,4.21130442441963,True
FE-HITL,AOD,63,0.0703914141414141,0.5941899980257805,False
FE-HITL,AOD,64,0.0074460218870156,-0.8285151523165726,False
FE-HITL,AOD,65,0.0559757164171425,0.26836333044048805,False
FE-HITL,AOD,66,0.006588999236058,-0.8478857606456077,False
FE-HITL,AOD,67,0.0667245899138778,0.5113116565447726,False
FE-HITL,AOD,68,0.0847231829777588,0.9181196870263097,False
