model,metric,n,mean,std,median,IQR,CI95_lo,CI95_hi,min,max
DL,Accuracy,30,0.7231,0.0222,0.7233,0.0342,0.7148,0.7314,0.6667,0.75
DL,DI,30,1.3505,0.2759,1.2584,0.3694,1.2475,1.4535,0.9824,2.1682
DL,EOD,30,0.0916,0.0675,0.073,0.0959,0.0664,0.1168,0.0052,0.2769
DL,AOD,30,0.0693,0.0527,0.0631,0.0685,0.0496,0.0889,0.0037,0.1885
Debiased-HITL,Accuracy,30,0.7181,0.0209,0.72,0.0283,0.7103,0.7259,0.6767,0.75
Debiased-HITL,DI,30,1.0324,0.2214,1.0681,0.1597,0.9497,1.115,0.0,1.2461
Debiased-HITL,EOD,30,0.1079,0.0774,0.0979,0.1075,0.079,0.1367,0.0139,0.3333
Debiased-HITL,AOD,30,0.0441,0.0442,0.0344,0.0443,0.0276,0.0606,0.0009,0.2304
FE-HITL,Accuracy,30,0.7181,0.0209,0.72,0.0283,0.7103,0.7259,0.6767,0.75
FE-HITL,DI,30,1.0324,0.2214,1.0681,0.1597,0.9497,1.115,0.0,1.2461
FE-HITL,EOD,30,0.1079,0.0774,0.0979,0.1075,0.079,0.1367,0.0139,0.3333
FE-HITL,AOD,30,0.0441,0.0442,0.0344,0.0443,0.0276,0.0606,0.0009,0.2304
LR,Accuracy,30,0.7444,0.0209,0.7417,0.0317,0.7367,0.7522,0.7,0.7867
LR,DI,30,1.5276,0.3293,1.5037,0.2761,1.4047,1.6506,0.8724,2.4091
LR,EOD,30,0.1529,0.0914,0.1361,0.0754,0.1188,0.187,0.0063,0.4183
LR,AOD,30,0.1053,0.0604,0.0949,0.0687,0.0828,0.1279,0.0017,0.2485
