experiment,model,endpoint,n_rows,mean,sd,median
main: 50 random 70/30 splits,DL,DI,50,1.35080852774214,0.5433348769935753,1.3792235902625514
main: 50 random 70/30 splits,DL,DI_gap,50,0.542591263293026,0.34695450051808274,0.4407293538927255
main: 50 random 70/30 splits,DL,Acc,50,0.7328000000000001,0.02316616502173071,0.7316666666666667
main: 50 random 70/30 splits,DL,EOD,50,0.08830055655320247,0.07900331230327891,0.0693277310924369
main: 50 random 70/30 splits,DL,AOD,50,0.06165695478886756,0.05349236062187375,0.04392303807134525
main: 50 random 70/30 splits,Debiased-HITL,DI,50,1.3839493220742343,0.6000442956982566,1.301771029005014
main: 50 random 70/30 splits,Debiased-HITL,DI_gap,50,0.4514058258553618,0.55004819452028,0.3110196387492543
main: 50 random 70/30 splits,Debiased-HITL,Acc,50,0.7332666666666665,0.021722742714040705,0.7333333333333333
main: 50 random 70/30 splits,Debiased-HITL,EOD,50,0.07091873645769897,0.06617772129357927,0.0480817344825422
main: 50 random 70/30 splits,Debiased-HITL,AOD,50,0.048128967728962746,0.044209627770709324,0.0333750329083272
main: 50 random 70/30 splits,FE-HITL,DI,50,1.0458917235222926,0.3451201196651395,1.028119706380576
main: 50 random 70/30 splits,FE-HITL,DI_gap,50,0.18779398589641189,0.2920113364564692,0.10616306558909239
main: 50 random 70/30 splits,FE-HITL,Acc,50,0.7306666666666666,0.022049213148171865,0.73
main: 50 random 70/30 splits,FE-HITL,EOD,50,0.061121381108613,0.0456165300892517,0.04836438004500685
main: 50 random 70/30 splits,FE-HITL,AOD,50,0.031457494036267054,0.03541460704959252,0.020713279549147402
main: 50 random 70/30 splits,LR,DI,50,1.4942533820465866,0.33800655646666555,1.437920277583173
main: 50 random 70/30 splits,LR,DI_gap,50,0.4986883557685172,0.33129275704881694,0.437920277583173
main: 50 random 70/30 splits,LR,Acc,50,0.7456,0.02183674740924037,0.7433333333333333
main: 50 random 70/30 splits,LR,EOD,50,0.13112974916102588,0.08986046247002567,0.12370997826092639
main: 50 random 70/30 splits,LR,AOD,50,0.09132608188677181,0.06205603850235513,0.0767642317892093
CV: one 5-fold partition x 50 seeds,DL,DI,250,1.51852243906728,0.7676755212157343,1.436950755760074
CV: one 5-fold partition x 50 seeds,DL,DI_gap,250,0.5974476224519267,0.7077385369186378,0.44973544973544954
CV: one 5-fold partition x 50 seeds,DL,Acc,250,0.74266,0.0241735774636184,0.745
CV: one 5-fold partition x 50 seeds,DL,EOD,250,0.10529792788488437,0.08461244934426304,0.09851267416484805
CV: one 5-fold partition x 50 seeds,DL,AOD,250,0.06821715737536994,0.05112886625180603,0.0628477539890583
CV: one 5-fold partition x 50 seeds,Debiased-HITL,DI,250,1.3769804450882075,0.8598639911566963,1.3261494252873565
CV: one 5-fold partition x 50 seeds,Debiased-HITL,DI_gap,250,0.45567654162738824,0.8207168017158248,0.34028292753264955
CV: one 5-fold partition x 50 seeds,Debiased-HITL,Acc,250,0.7418199999999999,0.024338385897845625,0.745
CV: one 5-fold partition x 50 seeds,Debiased-HITL,EOD,250,0.08623635292243984,0.07356507576211244,0.06462984723854286
CV: one 5-fold partition x 50 seeds,Debiased-HITL,AOD,250,0.051590324026079486,0.041492295732659355,0.04091706363866355
CV: one 5-fold partition x 50 seeds,FE-HITL,DI,250,1.072646227791506,0.33241632658704,1.0357882648724932
CV: one 5-fold partition x 50 seeds,FE-HITL,DI_gap,250,0.15459498687915738,0.3029912390363703,0.08730158730158721
CV: one 5-fold partition x 50 seeds,FE-HITL,Acc,250,0.7395,0.02400740347656839,0.74
CV: one 5-fold partition x 50 seeds,FE-HITL,EOD,250,0.06351506815941595,0.05800134621280283,0.0499999999999999
CV: one 5-fold partition x 50 seeds,FE-HITL,AOD,250,0.02905576114278088,0.027899156409495147,0.022591319928781203
