endpoint,contrast,n_obs,n_folds,mean_diff,se,ci_low,ci_high,t,df,p_raw,p_bh,bh_family,bh_family_size
DI_gap,FE-HITL - DL,250,5,-0.44285263557276927,0.03945480791062298,-0.5205665308505367,-0.36513874029500176,-11.22430089067887,245,7.3245350525402e-24,4.39472103152412e-23,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
DI_gap,FE-HITL - Debiased-HITL,250,5,-0.30108155474823095,0.048745909515766135,-0.3970960763728013,-0.2050670331236606,-6.176550150343397,245,2.7064001149694926e-09,5.412800229938985e-09,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
DI_gap,Debiased-HITL - DL,250,5,-0.14177108082453832,0.06018431684517239,-0.2603157638265409,-0.02322639782253573,-2.35561502158864,245,0.019280964054151334,0.019280964054151334,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
Acc,FE-HITL - DL,250,5,-0.0031600000000000027,0.0005158389243924578,-0.004176044793355548,-0.0021439552066444567,-6.125943294647204,245,3.568023526835961e-09,6.116611760290218e-09,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
Acc,FE-HITL - Debiased-HITL,250,5,-0.002320000000000002,0.0004620628104666366,-0.0032301223086854012,-0.0014098776913146034,-5.020962404780072,245,9.901746185964564e-07,1.3202328247952751e-06,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
Acc,Debiased-HITL - DL,250,5,-0.0008400000000000008,0.0003040139631594551,-0.0014388144549955292,-0.00024118554500447253,-2.763030984729545,245,0.006161265167135065,0.006721380182329162,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
EOD,FE-HITL - DL,250,5,-0.04178285972546843,0.004764689807132515,-0.05116784027185314,-0.03239787917908371,-8.769271750476067,245,3.085904179977616e-16,9.25771253993285e-16,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
EOD,FE-HITL - Debiased-HITL,250,5,-0.022721284763023892,0.004599406956749854,-0.031780708683839774,-0.013661860842208011,-4.940046613983418,245,1.44734388788544e-06,1.7368126654625278e-06,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
EOD,Debiased-HITL - DL,250,5,-0.019061574962444528,0.003254242332790995,-0.025471436301318397,-0.012651713623570659,-5.857454059389733,245,1.5058466433586476e-08,2.2587699650379714e-08,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
AOD,FE-HITL - DL,250,5,-0.03916139623258905,0.002695887509962791,-0.04447146947143204,-0.03385132299374607,-14.526346551132457,245,6.609378662629955e-35,7.931254395155946e-34,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
AOD,FE-HITL - Debiased-HITL,250,5,-0.02253456288329859,0.0025413138520799555,-0.02754017332793358,-0.017528952438663602,-8.86728841652322,245,1.5881689987606436e-16,6.352675995042574e-16,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
AOD,Debiased-HITL - DL,250,5,-0.016626833349290465,0.0022321415695956562,-0.021023469028715557,-0.012230197669865373,-7.448825637122269,245,1.606359528596813e-12,3.855262868632351e-12,"(A) credit CV, conditional on partition: 3 contrasts x 4 endpoints",12
