endpoint,contrast,n_units,mean_diff,se_corrected,ci_low,ci_high,t_corrected,df,p_raw,t_naive,p_naive,units_with_negative_diff,variance_factor,p_bh,bh_family,bh_family_size
DI_gap,FE-HITL - DL,5,-0.4428526355727692,0.19779266169027387,-0.9920131029667733,0.10630783182123482,-2.2389740437703294,4,0.08872284104334886,-3.3584610656554936,0.02834528392283269,5,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
DI_gap,FE-HITL - Debiased-HITL,5,-0.301081554748231,0.09436301494754305,-0.5630752857110431,-0.03908782378541886,-3.190673325938176,4,0.03319487442545806,-4.786009988907264,0.008737018064520173,5,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
DI_gap,Debiased-HITL - DL,5,-0.14177108082453826,0.10583437084565588,-0.4356144017206476,0.15207224007157105,-1.33955613560826,4,0.2514336582146326,-2.0093342034123896,0.11488616300951829,4,1/5 + 200/800,0.2514336582146326,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
Acc,FE-HITL - DL,5,-0.0031600000000000074,0.0013874797295816918,-0.0070122613037582535,0.0006922613037582386,-2.2775107503391845,4,0.08501973426018906,-3.416266125508777,0.026872170458041324,4,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
Acc,FE-HITL - Debiased-HITL,5,-0.0023199999999999666,0.0011881287808987728,-0.005618774338070986,0.0009787743380710529,-1.952650282779092,4,0.1225837602546885,-2.9289754241686383,0.04285760473698076,4,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
Acc,Debiased-HITL - DL,5,-0.0008400000000000407,0.0006048553546096937,-0.0025193476886588005,0.000839347688658719,-1.3887617818016726,4,0.23723145911541335,-2.083142672702509,0.10564666024972083,5,1/5 + 200/800,0.2514336582146326,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
EOD,FE-HITL - DL,5,-0.041782859725468434,0.02736545919754521,-0.11776155496598278,0.03419583551504591,-1.526846650876464,4,0.2015074829686164,-2.2902699763146965,0.08383214610743431,5,1/5 + 200/800,0.2514336582146326,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
EOD,FE-HITL - Debiased-HITL,5,-0.02272128476302389,0.014660713732983516,-0.06342595164567205,0.017983382119624268,-1.549807545311098,4,0.19611897325986988,-2.324711317966647,0.08071856350234244,5,1/5 + 200/800,0.2514336582146326,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
EOD,Debiased-HITL - DL,5,-0.01906157496244454,0.014143059109910296,-0.05832900220067804,0.020205852275788964,-1.347768881845919,4,0.24900640491881787,-2.0216533227688784,0.11328417502308638,4,1/5 + 200/800,0.2514336582146326,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
AOD,FE-HITL - DL,5,-0.03916139623258906,0.019164068549885366,-0.09236938055359326,0.014046588088415142,-2.043480283461171,4,0.11050564952841009,-3.0652204251917565,0.03746715400209542,5,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
AOD,FE-HITL - Debiased-HITL,5,-0.02253456288329859,0.011300719174104417,-0.053910389319455645,0.008841263552858466,-1.9940821938958109,4,0.11690403027376232,-2.991123290843716,0.040293392295835374,5,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
AOD,Debiased-HITL - DL,5,-0.016626833349290465,0.008357338816875034,-0.039830525799882666,0.006576859101301739,-1.9894889645634293,4,0.11751929828181873,-2.984233446845144,0.04056865214986151,5,1/5 + 200/800,0.21014358900803742,"(B1) credit CV generalization, corrected resampled t(4): 3 x 4",12
