reviewer_point,quantity,reviewer_value,regenerated_value,abs_diff,tolerance,match
1,"DL DI, Table 1",0.631978,0.6319784929924384,4.929924383167972e-07,5e-07,True
1,"FE-HITL DI, Table 1",0.863971,0.8639705957840943,4.042159057471295e-07,5e-07,True
1,DI improvement FE-HITL - DL (unrounded),0.231992,0.23199210279165608,1.0279165607585128e-07,5e-07,True
1,"paired t(29), DI",18.1614,18.161396292749494,3.707250506579385e-06,5e-05,True
1,"paired dz, DI",3.3158,3.315802141776533,2.1417765330156158e-06,5e-05,True
1,R2 difference FE-HITL - DL,-0.033567,-0.03356657151009152,4.28489908478602e-07,5e-07,True
1,"R2 p_BH, authors 15-comparison family",1.2e-08,1.2002832540049047e-08,2.832540049047491e-12,5e-11,True
1,Table 4 FE-HITL |AOD| CI lower (normal),0.0216,0.021641246166692787,4.12461666927863e-05,5e-05,True
1,Table 4 FE-HITL |AOD| CI upper (normal),0.0413,0.04127374190584132,2.6258094158682077e-05,5e-05,True
6,sweep DI at 10% (30 seeds),0.661395,0.6613950331418867,3.3141886790488684e-08,5e-07,True
6,sweep DI at 100% (30 seeds),0.863971,0.8639705957840944,4.042159056361072e-07,5e-07,True
6,sweep R2 at 10% (30 seeds),0.721959,0.7219587592865133,2.407134866988514e-07,5e-07,True
6,sweep R2 at 100% (30 seeds),0.702155,0.7021548247019646,1.7529803542082334e-07,5e-07,True
6,15-seed reverse-discr. DI at 10%,0.668,0.6679235913571774,7.640864282265625e-05,0.0005,True
6,15-seed reverse-discr. DI at 100%,0.865,0.8650299006501971,2.9900650197145495e-05,0.0005,True
2,"credit main mean |DI-1|, FE-HITL",0.187794,0.18779398589641186,1.4103588130698341e-08,5e-07,True
2,"credit main mean |DI-1|, DL",0.542591,0.542591263293026,2.632930259371946e-07,5e-07,True
