model,metric,mean,sd,n,ci_low,ci_high,display
LR,R2,0.7422036650497243,0.012153616243890013,30,0.7378546292480136,0.7465527008514351,"0.742 ± 0.012 [0.738, 0.747]"
LR,RMSE,2.0027569741914424,0.036980237382405814,30,1.9895240093598683,2.0159899390230165,"2.003 ± 0.037 [1.990, 2.016]"
LR,DI,0.633455365604939,0.0434563593013175,30,0.6179049928911018,0.6490057383187762,"0.633 ± 0.043 [0.618, 0.649]"
LR,EOD,0.13088476366991905,0.03770524640430233,30,0.11739236245912102,0.14437716488071708,"0.131 ± 0.038 [0.117, 0.144]"
LR,AOD,0.09804068760590538,0.02305260576356512,30,0.08979157015998716,0.1062898050518236,"0.098 ± 0.023 [0.090, 0.106]"
DL,R2,0.7357213962120561,0.0129481338620762,30,0.7310880511564376,0.7403547412676746,"0.736 ± 0.013 [0.731, 0.740]"
DL,RMSE,2.0277203954248173,0.03862511582317852,30,2.0138988292185718,2.041541961631063,"2.028 ± 0.039 [2.014, 2.042]"
DL,DI,0.6319784929924384,0.0497498660118917,30,0.6141760592086004,0.6497809267762763,"0.632 ± 0.050 [0.614, 0.650]"
DL,EOD,0.1301046833485305,0.0433099165128146,30,0.11460671355060913,0.14560265314645188,"0.130 ± 0.043 [0.115, 0.146]"
DL,AOD,0.09950490674561949,0.026134045372448515,30,0.09015313055921481,0.10885668293202416,"0.100 ± 0.026 [0.090, 0.109]"
Debiased-HITL,R2,0.7249684525890264,0.01702949476552375,30,0.718874638128039,0.7310622670500139,"0.725 ± 0.017 [0.719, 0.731]"
Debiased-HITL,RMSE,2.0683499531799097,0.0597053150402528,30,2.046985073176148,2.0897148331836712,"2.068 ± 0.060 [2.047, 2.090]"
Debiased-HITL,DI,0.6787657510434215,0.04576558187406628,30,0.662389048828844,0.6951424532579991,"0.679 ± 0.046 [0.662, 0.695]"
Debiased-HITL,EOD,0.0943965417246679,0.03678154161502201,30,0.08123467795377064,0.10755840549556515,"0.094 ± 0.037 [0.081, 0.108]"
Debiased-HITL,AOD,0.070743073762656,0.020778067405631793,30,0.06330787445867264,0.07817827306663935,"0.071 ± 0.021 [0.063, 0.078]"
FE-HITL,R2,0.7021548247019646,0.02380415092803021,30,0.6936367752146464,0.7106728741892827,"0.702 ± 0.024 [0.694, 0.711]"
FE-HITL,RMSE,2.1518108590579694,0.08166382100979903,30,2.1225883729971096,2.1810333451188293,"2.152 ± 0.082 [2.123, 2.181]"
FE-HITL,DI,0.8639705957840943,0.03991729553768624,30,0.8496866375022832,0.8782545540659054,"0.864 ± 0.040 [0.850, 0.878]"
FE-HITL,EOD,0.025204707607120184,0.018599511832478637,30,0.018549080077786433,0.031860335136453935,"0.025 ± 0.019 [0.019, 0.032]"
FE-HITL,AOD,0.036038333599303675,0.02523749751259439,30,0.027007377048981634,0.04506929014962571,"0.036 ± 0.025 [0.027, 0.045]"
