variant,metric,mean,sd,n,ci_low,ci_high,display
Full,R2,0.7021548247019646,0.02380415092803021,30,0.6936367752146464,0.7106728741892827,"0.702 ± 0.024 [0.694, 0.711]"
Full,RMSE,2.1518108590579694,0.08166382100979903,30,2.1225883729971096,2.1810333451188293,"2.152 ± 0.082 [2.123, 2.181]"
Full,DI,0.8639705957840943,0.03991729553768624,30,0.8496866375022832,0.8782545540659054,"0.864 ± 0.040 [0.850, 0.878]"
Full,EOD,0.025204707607120184,0.018599511832478637,30,0.018549080077786433,0.031860335136453935,"0.025 ± 0.019 [0.019, 0.032]"
Full,AOD,0.036038333599303675,0.02523749751259439,30,0.027007377048981634,0.04506929014962571,"0.036 ± 0.025 [0.027, 0.045]"
"No correction, same base model (R2 label: w/o HED)",R2,0.7245102646900526,0.017883347447793244,30,0.7181109085853224,0.7309096207947828,"0.725 ± 0.018 [0.718, 0.731]"
"No correction, same base model (R2 label: w/o HED)",RMSE,2.069991357010094,0.0634549736658182,30,2.0472847035555723,2.0926980104646153,"2.070 ± 0.063 [2.047, 2.093]"
"No correction, same base model (R2 label: w/o HED)",DI,0.6392706514022642,0.0577791560131317,30,0.6185950258887412,0.6599462769157873,"0.639 ± 0.058 [0.619, 0.660]"
"No correction, same base model (R2 label: w/o HED)",EOD,0.12627469302635067,0.04521901216734091,30,0.11009357467545441,0.14245581137724692,"0.126 ± 0.045 [0.110, 0.142]"
"No correction, same base model (R2 label: w/o HED)",AOD,0.09474220921744153,0.026934581865449697,30,0.08510396999001495,0.10438044844486812,"0.095 ± 0.027 [0.085, 0.104]"
"Reduced correction strength, coef 0.2 (R2 label: w/o MOG)",R2,0.723517660937669,0.017385201290813675,30,0.7172965608702955,0.7297387610050425,"0.724 ± 0.017 [0.717, 0.730]"
"Reduced correction strength, coef 0.2 (R2 label: w/o MOG)",RMSE,2.0737791557757492,0.06100471889861562,30,2.0519492986172465,2.095609012934252,"2.074 ± 0.061 [2.052, 2.096]"
"Reduced correction strength, coef 0.2 (R2 label: w/o MOG)",DI,0.7040046175860275,0.048640273526400934,30,0.68659923907758,0.721409996094475,"0.704 ± 0.049 [0.687, 0.721]"
"Reduced correction strength, coef 0.2 (R2 label: w/o MOG)",EOD,0.0772961325697017,0.03855204824478337,30,0.06350071278012816,0.09109155235927525,"0.077 ± 0.039 [0.064, 0.091]"
"Reduced correction strength, coef 0.2 (R2 label: w/o MOG)",AOD,0.05558241117122085,0.02227168696286464,30,0.04761273679428901,0.06355208554815268,"0.056 ± 0.022 [0.048, 0.064]"
w/o F&U (identical to Full by order of evaluation),R2,0.7021548247019646,0.02380415092803021,30,0.6936367752146464,0.7106728741892827,"0.702 ± 0.024 [0.694, 0.711]"
w/o F&U (identical to Full by order of evaluation),RMSE,2.1518108590579694,0.08166382100979903,30,2.1225883729971096,2.1810333451188293,"2.152 ± 0.082 [2.123, 2.181]"
w/o F&U (identical to Full by order of evaluation),DI,0.8639705957840943,0.03991729553768624,30,0.8496866375022832,0.8782545540659054,"0.864 ± 0.040 [0.850, 0.878]"
w/o F&U (identical to Full by order of evaluation),EOD,0.025204707607120184,0.018599511832478637,30,0.018549080077786433,0.031860335136453935,"0.025 ± 0.019 [0.019, 0.032]"
w/o F&U (identical to Full by order of evaluation),AOD,0.036038333599303675,0.02523749751259439,30,0.027007377048981634,0.04506929014962571,"0.036 ± 0.025 [0.027, 0.045]"
