variant,metric,mean,sd,n,ci_low,ci_high,display
Full: Algorithm 1 (4 candidates + rule-based arbitration),R2,0.7021548247019646,0.023804150928030163,30,0.6936367752146464,0.7106728741892827,"0.702 ± 0.024 [0.694, 0.711]"
Full: Algorithm 1 (4 candidates + rule-based arbitration),RMSE,2.1518108590579694,0.08166382100979885,30,2.1225883729971096,2.1810333451188293,"2.152 ± 0.082 [2.123, 2.181]"
Full: Algorithm 1 (4 candidates + rule-based arbitration),DI,0.8639705957840943,0.03991729553768624,30,0.8496866375022832,0.8782545540659054,"0.864 ± 0.040 [0.850, 0.878]"
Full: Algorithm 1 (4 candidates + rule-based arbitration),EOD,0.025204707607120184,0.018599511832478637,30,0.018549080077786433,0.031860335136453935,"0.025 ± 0.019 [0.019, 0.032]"
Full: Algorithm 1 (4 candidates + rule-based arbitration),AOD,0.036038333599303675,0.02523749751259439,30,0.027007377048981634,0.04506929014962571,"0.036 ± 0.025 [0.027, 0.045]"
"Single fixed candidate, alpha=0.3",R2,0.7233547427889213,0.017387535199891238,30,0.717132807558257,0.7295766780195856,"0.723 ± 0.017 [0.717, 0.730]"
"Single fixed candidate, alpha=0.3",RMSE,2.0743910674441897,0.06097245109906027,30,2.052572756957286,2.0962093779310935,"2.074 ± 0.061 [2.053, 2.096]"
"Single fixed candidate, alpha=0.3",DI,0.7072438221228113,0.04636991387269812,30,0.6906508664536712,0.7238367777919514,"0.707 ± 0.046 [0.691, 0.724]"
"Single fixed candidate, alpha=0.3",EOD,0.07536158238670279,0.03730680989412946,30,0.062011757230033646,0.08871140754337194,"0.075 ± 0.037 [0.062, 0.089]"
"Single fixed candidate, alpha=0.3",AOD,0.053771896260057024,0.021449525584881956,30,0.046096423147660597,0.06144736937245345,"0.054 ± 0.021 [0.046, 0.061]"
"Single fixed candidate, alpha=0.5",R2,0.7199410090951694,0.01781256519643971,30,0.7135669816283594,0.7263150365619795,"0.720 ± 0.018 [0.714, 0.726]"
"Single fixed candidate, alpha=0.5",RMSE,2.087130599902616,0.06191434552607728,30,2.0649752430171486,2.1092859567880837,"2.087 ± 0.062 [2.065, 2.109]"
"Single fixed candidate, alpha=0.5",DI,0.7530020443268441,0.044191308303803654,30,0.7371886783227711,0.7688154103309172,"0.753 ± 0.044 [0.737, 0.769]"
"Single fixed candidate, alpha=0.5",EOD,0.053269379681558156,0.033478959337103306,30,0.04128930808482014,0.06524945127829618,"0.053 ± 0.033 [0.041, 0.065]"
