model,metric,mean,sd,n,ci_low,ci_high,display
LR,Acc,0.7456,0.02183674740924037,50,0.7395472736508352,0.7516527263491649,"0.746 ± 0.022 [0.740, 0.752]"
LR,DI,1.4942533820465866,0.33800655646666555,50,1.4005644661941032,1.58794229789907,"1.494 ± 0.338 [1.401, 1.588]"
LR,DI_gap,0.4986883557685172,0.33129275704881694,50,0.4068603759738564,0.5905163355631781,"0.499 ± 0.331 [0.407, 0.591]"
LR,EOD,0.13112974916102588,0.08986046247002567,50,0.10622215744201802,0.15603734088003374,"0.131 ± 0.090 [0.106, 0.156]"
LR,AOD,0.09132608188677181,0.06205603850235513,50,0.07412534166989085,0.10852682210365278,"0.091 ± 0.062 [0.074, 0.109]"
DL,Acc,0.7328000000000001,0.02316616502173071,50,0.7263787846601737,0.7392212153398265,"0.733 ± 0.023 [0.726, 0.739]"
DL,DI,1.35080852774214,0.5433348769935753,50,1.2002065509565485,1.5014105045277315,"1.351 ± 0.543 [1.200, 1.501]"
DL,DI_gap,0.542591263293026,0.34695450051808274,50,0.4464221494643574,0.6387603771216946,"0.543 ± 0.347 [0.446, 0.639]"
DL,EOD,0.08830055655320247,0.07900331230327891,50,0.06640235802172123,0.11019875508468371,"0.088 ± 0.079 [0.066, 0.110]"
DL,AOD,0.06165695478886756,0.05349236062187375,50,0.046829901356998174,0.07648400822073695,"0.062 ± 0.053 [0.047, 0.076]"
Debiased-HITL,Acc,0.7332666666666665,0.021722742714040705,50,0.7272455402261159,0.7392877931072172,"0.733 ± 0.022 [0.727, 0.739]"
Debiased-HITL,DI,1.3839493220742343,0.6000442956982566,50,1.2176285852367497,1.5502700589117189,"1.384 ± 0.600 [1.218, 1.550]"
Debiased-HITL,DI_gap,0.4514058258553618,0.55004819452028,50,0.2989430465829035,0.6038686051278201,"0.451 ± 0.550 [0.299, 0.604]"
Debiased-HITL,EOD,0.07091873645769897,0.06617772129357927,50,0.05257554505219525,0.0892619278632027,"0.071 ± 0.066 [0.053, 0.089]"
Debiased-HITL,AOD,0.048128967728962746,0.044209627770709324,50,0.03587490928886239,0.0603830261690631,"0.048 ± 0.044 [0.036, 0.060]"
FE-HITL,Acc,0.7306666666666666,0.022049213148171865,50,0.724555048901476,0.7367782844318571,"0.731 ± 0.022 [0.725, 0.737]"
FE-HITL,DI,1.0458917235222926,0.3451201196651395,50,0.9502310647815055,1.1415523822630798,"1.046 ± 0.345 [0.950, 1.142]"
FE-HITL,DI_gap,0.18779398589641189,0.2920113364564692,50,0.10685406030671565,0.26873391148610815,"0.188 ± 0.292 [0.107, 0.269]"
FE-HITL,EOD,0.061121381108613,0.0456165300892517,50,0.04847735640776179,0.07376540580946422,"0.061 ± 0.046 [0.048, 0.074]"
FE-HITL,AOD,0.031457494036267054,0.03541460704959252,50,0.021641246166692787,0.04127374190584132,"0.031 ± 0.035 [0.022, 0.041]"
