bias,model,metric,mean,sd,n,ci_low,ci_high,seeds,display
0.1,LR,R2,0.7444227601537767,0.011835512535968753,30,0.7401875542103274,0.748657966097226,42-71,"0.744 ± 0.012 [0.740, 0.749]"
0.1,LR,RMSE,1.9997874817613335,0.03673323048364583,30,1.986642905589103,2.012932057933564,42-71,"2.000 ± 0.037 [1.987, 2.013]"
0.1,LR,DI,0.8633927557972022,0.05467689251703446,30,0.8438272406195761,0.8829582709748283,42-71,"0.863 ± 0.055 [0.844, 0.883]"
0.1,LR,EOD,0.04431652155026314,0.026646303933972836,30,0.03478143936018881,0.05385160374033747,42-71,"0.044 ± 0.027 [0.035, 0.054]"
0.1,LR,AOD,0.03603158132207755,0.019202919688256326,30,0.02916003103237773,0.042903131611777376,42-71,"0.036 ± 0.019 [0.029, 0.043]"
0.1,DL,R2,0.7376284852340593,0.01231418242229618,30,0.7332219926191319,0.7420349778489868,42-71,"0.738 ± 0.012 [0.733, 0.742]"
0.1,DL,RMSE,2.0261821243562763,0.037798239922803,30,2.0126564464537373,2.0397078022588153,42-71,"2.026 ± 0.038 [2.013, 2.040]"
0.1,DL,DI,0.8643077826776321,0.04979806154861145,30,0.8464881026593837,0.8821274626958805,42-71,"0.864 ± 0.050 [0.846, 0.882]"
0.1,DL,EOD,0.04464042888450943,0.02473208279180863,30,0.03579032934590305,0.0534905284231158,42-71,"0.045 ± 0.025 [0.036, 0.053]"
0.1,DL,AOD,0.034717462568600116,0.016863481294619426,30,0.028683054173596737,0.0407518709636035,42-71,"0.035 ± 0.017 [0.029, 0.041]"
0.1,Debiased-HITL,R2,0.731072693090386,0.014365243959984762,30,0.7259322510171314,0.7362131351636406,42-71,"0.731 ± 0.014 [0.726, 0.736]"
0.1,Debiased-HITL,RMSE,2.051179572542725,0.0468996714148422,30,2.0343970490551864,2.067962096030264,42-71,"2.051 ± 0.047 [2.034, 2.068]"
