metric,contrast,component,mean_diff,sd_diff,ci_low,ci_high,t,df,p_raw,dz,n_pairs,identical_by_construction,p_bh,bh_family,bh_family_size
R2,FE-HITL - same-base uncorrected,correction effect,-0.022355439988088033,0.02126740889390268,-0.03029682098201509,-0.014414058994160976,-5.757437977288964,29,3.1046445324500274e-06,-1.0511595511993608,30,False,6.209289064900055e-06,same-base decomposition: 2 contrasts x 5 metrics,10
R2,same-base uncorrected - DL,base-model/pipeline difference,-0.011211131522003481,0.01492596458424901,-0.016784578294796126,-0.005637684749210837,-4.114032024595945,29,0.0002932855095913975,-0.7511160473899491,30,False,0.0004189792994162822,same-base decomposition: 2 contrasts x 5 metrics,10
RMSE,FE-HITL - same-base uncorrected,correction effect,0.08181950204787561,0.07672479193551036,0.05316999389766765,0.11046901019808357,5.840926483466977,29,2.4664087612154497e-06,1.0664023972413963,30,False,6.166021903038624e-06,same-base decomposition: 2 contrasts x 5 metrics,10
RMSE,same-base uncorrected - DL,base-model/pipeline difference,0.042270961585276434,0.05528269720118373,0.02162806319381459,0.06291385997673828,4.188066132778068,29,0.000239548559499488,0.7646327644153245,30,False,0.00039924759916581335,same-base decomposition: 2 contrasts x 5 metrics,10
DI,FE-HITL - same-base uncorrected,correction effect,0.22469994438183008,0.06556353963878161,0.20021811633312608,0.24918177243053408,18.771596055696367,29,9.082917936285914e-18,3.4272088666933014,30,False,9.082917936285914e-17,same-base decomposition: 2 contrasts x 5 metrics,10
DI,same-base uncorrected - DL,base-model/pipeline difference,0.0072921584098259405,0.046358458651705375,-0.010018374541367482,0.024602691361019363,0.8615643768423132,29,0.3959955152212967,0.1572994146464722,30,False,0.4399950169125519,same-base decomposition: 2 contrasts x 5 metrics,10
EOD,FE-HITL - same-base uncorrected,correction effect,-0.10106998541923047,0.0485727191205177,-0.11920733681785928,-0.08293263402060166,-11.396996483453352,29,3.1368293038852686e-12,-2.080797353931485,30,False,1.5684146519426344e-11,same-base decomposition: 2 contrasts x 5 metrics,10
EOD,same-base uncorrected - DL,base-model/pipeline difference,-0.003829990322179866,0.03438523091297809,-0.016669646558930214,0.009009665914570482,-0.6100793971090142,29,0.5465605644035464,-0.1113847492219197,30,False,0.5465605644035464,same-base decomposition: 2 contrasts x 5 metrics,10
AOD,FE-HITL - same-base uncorrected,correction effect,-0.058703875618137884,0.037128185497113865,-0.0725677679294533,-0.04483998330682248,-8.66011534324269,29,1.5511381577397134e-09,-1.581113508030205,30,False,5.170460525799045e-09,same-base decomposition: 2 contrasts x 5 metrics,10
AOD,same-base uncorrected - DL,base-model/pipeline difference,-0.004762697528177914,0.020597395390184164,-0.012453891368105683,0.0029284963117498534,-1.2664887095386366,29,0.21541663974273118,-0.2312281450133065,30,False,0.26927079967841394,same-base decomposition: 2 contrasts x 5 metrics,10
