table,group,metric,mean,sd,n,ci_low,ci_high,display,seeds
S3 bias structure,interaction | DL,DI,0.7915073760849881,0.05253959696581616,15,0.7649191600741737,0.8180955920958025,"0.792 ± 0.053 [0.765, 0.818]",42-56 (15 seeds)
S3 bias structure,interaction | DL,R2,0.7372736116461946,0.011416515608655057,15,0.7314961637664317,0.7430510595259576,"0.737 ± 0.011 [0.731, 0.743]",42-56 (15 seeds)
S3 bias structure,interaction | DL,EOD,0.06867794769391819,0.02984086671099722,15,0.05357666302707663,0.08377923236075975,"0.069 ± 0.030 [0.054, 0.084]",42-56 (15 seeds)
S3 bias structure,interaction | Debiased-HITL,DI,0.8080102684405934,0.045740368395239296,15,0.7848628736081185,0.8311576632730684,"0.808 ± 0.046 [0.785, 0.831]",42-56 (15 seeds)
S3 bias structure,interaction | Debiased-HITL,R2,0.7242745848631392,0.019454481212965544,15,0.714429439891715,0.7341197298345634,"0.724 ± 0.019 [0.714, 0.734]",42-56 (15 seeds)
S3 bias structure,interaction | Debiased-HITL,EOD,0.062424808531586336,0.026491292134760775,15,0.049018611332493175,0.0758310057306795,"0.062 ± 0.026 [0.049, 0.076]",42-56 (15 seeds)
S3 bias structure,interaction | FE-HITL,DI,0.8329038983922994,0.029629980368562705,15,0.8179093349785734,0.8478984618060253,"0.833 ± 0.030 [0.818, 0.848]",42-56 (15 seeds)
S3 bias structure,interaction | FE-HITL,R2,0.7234677860492708,0.01839035653149523,15,0.7141611525725537,0.7327744195259878,"0.723 ± 0.018 [0.714, 0.733]",42-56 (15 seeds)
S3 bias structure,interaction | FE-HITL,EOD,0.048401170739694584,0.021842038220685322,15,0.037347777416066825,0.05945456406332234,"0.048 ± 0.022 [0.037, 0.059]",42-56 (15 seeds)
S3 bias structure,nonlinear | DL,DI,0.8139796870829599,0.050824889462827254,15,0.7882592168509054,0.8397001573150144,"0.814 ± 0.051 [0.788, 0.840]",42-56 (15 seeds)
S3 bias structure,nonlinear | DL,R2,0.7414296266823588,0.01071989415428542,15,0.736004711421348,0.7468545419433695,"0.741 ± 0.011 [0.736, 0.747]",42-56 (15 seeds)
S3 bias structure,nonlinear | DL,EOD,0.06197112659039832,0.03011536342628103,15,0.04673092997177736,0.07721132320901929,"0.062 ± 0.030 [0.047, 0.077]",42-56 (15 seeds)
S3 bias structure,nonlinear | Debiased-HITL,DI,0.8250740938073893,0.04436887418567039,15,0.802620758054304,0.8475274295604746,"0.825 ± 0.044 [0.803, 0.848]",42-56 (15 seeds)
S3 bias structure,nonlinear | Debiased-HITL,R2,0.72468932459162,0.019638209144203406,15,0.7147512021669019,0.7346274470163382,"0.725 ± 0.020 [0.715, 0.735]",42-56 (15 seeds)
S3 bias structure,nonlinear | Debiased-HITL,EOD,0.0551406120893506,0.029403020688611035,15,0.040260904010358665,0.07002032016834253,"0.055 ± 0.029 [0.040, 0.070]",42-56 (15 seeds)
S3 bias structure,nonlinear | FE-HITL,DI,0.8338270840682314,0.03600239683499332,15,0.815607692233561,0.8520464759029017,"0.834 ± 0.036 [0.816, 0.852]",42-56 (15 seeds)
S3 bias structure,nonlinear | FE-HITL,R2,0.7252038749262032,0.019349557877099032,15,0.7154118275131864,0.73499592233922,"0.725 ± 0.019 [0.715, 0.735]",42-56 (15 seeds)
S3 bias structure,nonlinear | FE-HITL,EOD,0.048645951564734884,0.025319292667574125,15,0.03583285703101605,0.06145904609845372,"0.049 ± 0.025 [0.036, 0.061]",42-56 (15 seeds)
S3 bias structure,uniform | DL,DI,0.6313978662829425,0.05466666347563246,15,0.6037332258779866,0.6590625066878983,"0.631 ± 0.055 [0.604, 0.659]",42-56 (15 seeds)
S3 bias structure,uniform | DL,R2,0.7358815385330995,0.011944714359224765,15,0.7298367901164495,0.7419262869497494,"0.736 ± 0.012 [0.730, 0.742]",42-56 (15 seeds)
S3 bias structure,uniform | DL,EOD,0.1425329972104988,0.048384242484735024,15,0.11804764206891366,0.16701835235208395,"0.143 ± 0.048 [0.118, 0.167]",42-56 (15 seeds)
